Session Title,Percentage with Hemoglobin A1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,
Session Description,Obesity measured based on BMI,,
Session ID,2727757,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,
Session Date Range,3/27/2023 - 3/26/2025,,
Export User,Daniel Weinberger,,
Date of Export,4/11/2025,,
,,,
,,,
,,,Base Patient
State of Residence (U.S.),Age in Years (Current),Measures,
Federated States of Micronesia,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),71.4%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),28.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),61.5%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),20.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),60.6%
"American Samoa, South Pacific",Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),63.3%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),17.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),64.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),20%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),73.3%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),15.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),65.5%
Puerto Rico,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),2.9%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),13.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),22.6%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),43.8%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),56.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),9.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.3%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),4.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40%
West Virginia,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.123%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.7%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.493%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),12%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.862%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),26.3%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),2.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),51.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),11.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),62.2%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),16%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),53.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),8.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),47%
