Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,,,
Session Description,base al ed encounters53 states of residence6 age groupslong formatstate age date,,,
Session ID,2726817,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: COVID-19( ICD-10-CM: U07.* ),,,
Session Date Range,1/1/2023 - 3/5/2025 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,4/7/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023,Jan 1 – Jan 7,154
,,,Jan 8 – Jan 14,93
,,,Jan 15 – Jan 21,98
,,,Jan 22 – Jan 28,82
,,,Jan 29 – Feb 4,99
,,,Feb 5 – Feb 11,93
,,,Feb 12 – Feb 18,66
,,,Feb 19 – Feb 25,55
,,,Feb 26 – Mar 4,56
,,,Mar 5 – Mar 11,43
,,,Mar 12 – Mar 18,47
,,,Mar 19 – Mar 25,45
,,,Mar 26 – Apr 1,40
,,,Apr 2 – Apr 8,50
,,,Apr 9 – Apr 15,63
,,,Apr 16 – Apr 22,46
,,,Apr 23 – Apr 29,30
,,,Apr 30 – May 6,34
,,,May 7 – May 13,32
,,,May 14 – May 20,33
,,,May 21 – May 27,55
,,,May 28 – Jun 3,55
,,,Jun 4 – Jun 10,58
,,,Jun 11 – Jun 17,51
,,,Jun 18 – Jun 24,58
,,,Jun 25 – Jul 1,59
,,,Jul 2 – Jul 8,82
,,,Jul 9 – Jul 15,112
,,,Jul 16 – Jul 22,125
,,,Jul 23 – Jul 29,153
,,,Jul 30 – Aug 5,159
,,,Aug 6 – Aug 12,196
,,,Aug 13 – Aug 19,192
,,,Aug 20 – Aug 26,282
,,,Aug 27 – Sep 2,248
,,,Sep 3 – Sep 9,146
,,,Sep 10 – Sep 16,107
,,,Sep 17 – Sep 23,97
,,,Sep 24 – Sep 30,88
,,,Oct 1 – Oct 7,67
,,,Oct 8 – Oct 14,54
,,,Oct 15 – Oct 21,57
,,,Oct 22 – Oct 28,64
,,,Oct 29 – Nov 4,41
,,,Nov 5 – Nov 11,32
,,,Nov 12 – Nov 18,42
,,,Nov 19 – Nov 25,52
,,,Nov 26 – Dec 2,56
,,,Dec 3 – Dec 9,50
,,,Dec 10 – Dec 16,70
,,,Dec 17 – Dec 23,106
,,,Dec 24 – Dec 30,112
,,2023 – 2024,Dec 31 – Jan 6,130
,,2024,Jan 7 – Jan 13,134
,,,Jan 14 – Jan 20,113
,,,Jan 21 – Jan 27,121
,,,Jan 28 – Feb 3,133
,,,Feb 4 – Feb 10,118
,,,Feb 11 – Feb 17,94
,,,Feb 18 – Feb 24,83
,,,Feb 25 – Mar 2,66
,,,Mar 3 – Mar 9,57
