"Age Group","Year","Sex","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"10 to 14","2023","Males","12,794","10,667,918","119.93","--","493","2,181","17.0%","8,520","17,068"
"10 to 14","2023","Females","60,596","10,166,646","596.03","--","2,276","10,948","18.1%","39,138","82,055"
"10 to 14","2022","Males","14,311","10,835,340","132.08","--","520","2,664","18.6%","9,090","19,532"
"10 to 14","2022","Females","64,620","10,317,654","626.31","--","2,502","12,214","18.9%","40,682","88,559"
"10 to 14","2021","Males","10,621","10,996,920","96.58","--","329","1,982","18.7%","6,735","14,506"
"10 to 14","2021","Females","61,594","10,467,654","588.42","--","1,871","9,480","15.4%","43,014","80,175"
"10 to 14","2020","Males","7,701","11,109,121","69.32","--","276","1,646","21.4%","4,475","10,927"
"10 to 14","2020","Females","45,248","10,585,215","427.46","--","1,484","6,468","14.3%","32,571","57,925"
"10 to 14","2019","Males","8,744","10,629,162","82.26","--","323","1,389","15.9%","6,021","11,467"
"10 to 14","2019","Females","39,111","10,190,891","383.78","--","1,329","5,247","13.4%","28,827","49,395"
"10 to 14","2018","Males","9,121","10,663,948","85.53","--","295","1,554","17.0%","6,074","12,168"
"10 to 14","2018","Females","35,133","10,223,894","343.64","--","1,168","5,431","15.5%","24,488","45,779"
"10 to 14","2017","Males","6,570","10,609,152","61.93","--","241","1,301","19.8%","4,019","9,121"
"10 to 14","2017","Females","34,545","10,174,304","339.53","--","1,119","4,494","13.0%","25,738","43,352"
"10 to 14","2016","Males","5,386","10,529,234","51.15","--","190","1,076","20.0%","3,277","7,494"
"10 to 14","2016","Females","31,133","10,104,766","308.10","--","927","3,965","12.7%","23,362","38,904"
"10 to 14","2015","Males","4,642","10,517,252","44.14","--","180","1,081","23.3%","2,523","6,761"
"10 to 14","2015","Females","32,095","10,097,361","317.86","--","1,033","3,820","11.9%","24,608","39,582"
"10 to 14","2014","Males","4,904","10,551,032","46.48","--","175","1,020","20.8%","2,904","6,904"
"10 to 14","2014","Females","31,878","10,122,728","314.92","--","973","4,969","15.6%","22,139","41,617"
"10 to 14","2013","Males","6,079","10,547,243","57.64","--","158","1,118","18.4%","3,889","8,270"
"10 to 14","2013","Females","28,160","10,109,744","278.55","--","673","4,170","14.8%","19,988","36,333"
"10 to 14","2012","Males","4,281","10,562,254","40.53","--","118","706","16.5%","2,898","5,665"
"10 to 14","2012","Females","20,302","10,111,589","200.77","--","534","2,525","12.4%","15,352","25,251"
"10 to 14","2011","Males","4,647","10,587,916","43.89","--","130","754","16.2%","3,170","6,124"
"10 to 14","2011","Females","18,454","10,127,110","182.23","--","424","2,565","13.9%","13,427","23,481"
"10 to 14","2010","Males","5,212","10,579,975","49.26","--","127","1,107","21.2%","3,042","7,383"
"10 to 14","2010","Females","15,598","10,097,402","154.47","--","350","2,452","15.7%","10,791","20,404"
"10 to 14","2009","Males","2,734","10,571,832","25.86","--","76","506","18.5%","1,742","3,726"
"10 to 14","2009","Females","11,080","10,088,732","109.82","--","324","2,092","18.9%","6,979","15,181"
"10 to 14","2008","Males","3,037","10,598,181","28.66","--","87","570","18.8%","1,919","4,155"
"10 to 14","2008","Females","12,368","10,108,474","122.35","--","291","1,762","14.2%","8,914","15,822"
"10 to 14","2007","Males","4,464","10,670,960","41.83","--","91","879","19.7%","2,741","6,186"
"10 to 14","2007","Females","15,614","10,170,082","153.53","--","306","2,117","13.6%","11,465","19,764"
"10 to 14","2006","Males","4,399","10,771,194","40.84","--","91","874","19.9%","2,686","6,112"
"10 to 14","2006","Females","15,378","10,261,944","149.85","--","311","2,316","15.1%","10,839","19,917"
"10 to 14","2005","Males","5,310","10,864,197","48.87","--","109","1,114","21.0%","3,127","7,493"
"10 to 14","2005","Females","13,339","10,348,382","128.90","--","339","1,634","12.2%","10,137","16,542"
