"","dataset","state","year","quarter","setting","underlying_cause_of_death","drug","characteristic","level","count","crude_rate","age_adjusted_rate","population","qtr","qdate","year_quarter"
"1","CDC WONDER","Alabama",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",47,NA,NA,NA,1,2022,"2022 NA"
"2","CDC WONDER","Alaska",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",21,NA,NA,NA,1,2022,"2022 NA"
"3","CDC WONDER","Arizona",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",162,NA,NA,NA,1,2022,"2022 NA"
"4","CDC WONDER","Arkansas",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",20,NA,NA,NA,1,2022,"2022 NA"
"5","CDC WONDER","California",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",431,NA,NA,NA,1,2022,"2022 NA"
"6","CDC WONDER","Colorado",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",75,NA,NA,NA,1,2022,"2022 NA"
"7","CDC WONDER","Connecticut",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",90,NA,NA,NA,1,2022,"2022 NA"
"8","CDC WONDER","Delaware",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",51,NA,NA,NA,1,2022,"2022 NA"
"9","CDC WONDER","Florida",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",359,NA,NA,NA,1,2022,"2022 NA"
"10","CDC WONDER","Georgia",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",128,NA,NA,NA,1,2022,"2022 NA"
"11","CDC WONDER","Hawaii",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",11,NA,NA,NA,1,2022,"2022 NA"
"12","CDC WONDER","Idaho",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",32,NA,NA,NA,1,2022,"2022 NA"
"13","CDC WONDER","Illinois",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",240,NA,NA,NA,1,2022,"2022 NA"
"14","CDC WONDER","Indiana",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",174,NA,NA,NA,1,2022,"2022 NA"
"15","CDC WONDER","Iowa",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",23,NA,NA,NA,1,2022,"2022 NA"
"16","CDC WONDER","Kansas",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",36,NA,NA,NA,1,2022,"2022 NA"
"17","CDC WONDER","Kentucky",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",131,NA,NA,NA,1,2022,"2022 NA"
"18","CDC WONDER","Louisiana",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",99,NA,NA,NA,1,2022,"2022 NA"
"19","CDC WONDER","Maine",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",45,NA,NA,NA,1,2022,"2022 NA"
"20","CDC WONDER","Maryland",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",96,NA,NA,NA,1,2022,"2022 NA"
"21","CDC WONDER","Massachusetts",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",195,NA,NA,NA,1,2022,"2022 NA"
"22","CDC WONDER","Michigan",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",133,NA,NA,NA,1,2022,"2022 NA"
"23","CDC WONDER","Minnesota",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",68,NA,NA,NA,1,2022,"2022 NA"
"24","CDC WONDER","Mississippi",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",26,NA,NA,NA,1,2022,"2022 NA"
"25","CDC WONDER","Missouri",2022,NA,"Medical Facility - Inpatient","All","All Opioids","Not Stratified","N/A",117,NA,NA,NA,1,2022,"2022 NA"
