"state","date","hosp_rate","Level","hosp_rate_3m","scale_age"
"All states","2023-07-01",0.278013766031774,"1-4 Years",0.278013766031774,1.39012664771787
"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.00940438419267972,1.14022618200343
"All states","2023-07-01",0,"5-17 Years",0,0
"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.00939657329746968,0.350963240665345
"All states","2023-07-01",0.0605156989967019,"65+ Years",0.0605156989967019,0.693806614030491
"All states","2023-07-01",2.51337972935653,"<1 Years",2.51337972935653,2.98745168211152
"All states","2023-07-08",0.1373594149388,"1-4 Years",0.207686590485287,1.03847614428657
"All states","2023-07-08",0,"18-49 Years",0.00470219209633986,0.570113091001715
"All states","2023-07-08",0.0769706059693365,"5-17 Years",0.0384853029846682,3.06476427051971
"All states","2023-07-08",0,"50-64 Years",0.00469828664873484,0.175481620332672
"All states","2023-07-08",0.0960857907519934,"65+ Years",0.0783007448743476,0.897710438415282
"All states","2023-07-08",0.197508186373141,"<1 Years",1.35544395786484,1.61110686325456
"All states","2023-07-15",0.148591904061819,"1-4 Years",0.187988361677465,0.939980903675111
"All states","2023-07-15",0,"18-49 Years",0.00313479473089324,0.380075394001143
"All states","2023-07-15",0.0614279939539177,"5-17 Years",0.0461328666410847,3.67377545226998
"All states","2023-07-15",0,"50-64 Years",0.00313219109915656,0.116987746888448
"All states","2023-07-15",0.0602977418118774,"65+ Years",0.0722997438535242,0.828909544298898
"All states","2023-07-15",0.369356531344932,"<1 Years",1.02674814902487,1.22041267743276
"All states","2023-07-22",0.430573563965997,"1-4 Years",0.238841627655539,1.19425780934289
"All states","2023-07-22",0.0492778290900249,"18-49 Years",0.0164259430300083,1.99154882692807
"All states","2023-07-22",0,"5-17 Years",0.0461328666410847,3.67377545226998
"All states","2023-07-22",0.00938387672381322,"50-64 Years",0.00312795890793774,0.116829673993335
"All states","2023-07-22",0.0776222091965199,"65+ Years",0.0780019139201302,0.894284370536195
"All states","2023-07-22",1.26234386712431,"<1 Years",0.609736194947463,0.724744215911388
"All states","2023-07-29",0.506993099913814,"1-4 Years",0.362052855980543,1.81033957477987
"All states","2023-07-29",0,"18-49 Years",0.0164259430300083,1.99154882692807
"All states","2023-07-29",0.0100038099508008,"5-17 Years",0.0238106013015728,1.89614929516657
"All states","2023-07-29",0.0262186245466394,"50-64 Years",0.0118675004234842,0.443252691738693
"All states","2023-07-29",0.0861349259234689,"65+ Years",0.0746849589772887,0.856255804132129
"All states","2023-07-29",2.21163427624571,"<1 Years",1.28111155823832,1.52275393762781
"All states","2023-08-05",0.268413973358308,"1-4 Years",0.40199354574604,2.01005132993412
"All states","2023-08-05",0.00517853810103476,"18-49 Years",0.0181521223970199,2.2008379062314
"All states","2023-08-05",0.0100038099508008,"5-17 Years",0.0066692066338672,0.531100046486106
"All states","2023-08-05",0.0708054194647563,"50-64 Years",0.0354693069117363,1.32478324851133
"All states","2023-08-05",0.113184681906078,"65+ Years",0.092313939008689,1.05837034874085
"All states","2023-08-05",1.60338083402375,"<1 Years",1.69245299246459,2.01168230975089
