year,county,fips,grade,N,vax,value
2010-2011,Apache,04001,Kindergarten,955,dtap,96.8
2010-2011,Cochise,04003,Kindergarten,1559,dtap,97
2010-2011,Coconino,04005,Kindergarten,1305,dtap,93.4
2010-2011,Gila,04007,Kindergarten,654,dtap,97.9
2010-2011,Graham,04009,Kindergarten,574,dtap,94.8
2010-2011,Greenlee,04011,Kindergarten,35,dtap,91.4
2010-2011,La Paz,04012,Kindergarten,215,dtap,95.8
2010-2011,Maricopa,04013,Kindergarten,53120,dtap,95.2
2010-2011,Mohave,04015,Kindergarten,1809,dtap,92.5
2010-2011,Navajo,04017,Kindergarten,1584,dtap,94.3
2010-2011,Pima,04019,Kindergarten,11913,dtap,96
2010-2011,Pinal,04021,Kindergarten,4272,dtap,93.9
2010-2011,Santa Cruz,04023,Kindergarten,762,dtap,97.2
2010-2011,Yavapai,04025,Kindergarten,1828,dtap,90.6
2010-2011,Yuma,04027,Kindergarten,2763,dtap,98.3
2010-2011,Total,04,Kindergarten,83348,dtap,95.6
2010-2011,Apache,04001,Kindergarten,955,polio,97.5
2010-2011,Cochise,04003,Kindergarten,1559,polio,97
2010-2011,Coconino,04005,Kindergarten,1305,polio,93.3
2010-2011,Gila,04007,Kindergarten,654,polio,98.2
2010-2011,Graham,04009,Kindergarten,574,polio,95.5
2010-2011,Greenlee,04011,Kindergarten,35,polio,94.3
2010-2011,La Paz,04012,Kindergarten,215,polio,95.8
2010-2011,Maricopa,04013,Kindergarten,53120,polio,95.6
2010-2011,Mohave,04015,Kindergarten,1809,polio,93.1
2010-2011,Navajo,04017,Kindergarten,1584,polio,94.4
2010-2011,Pima,04019,Kindergarten,11913,polio,96.2
2010-2011,Pinal,04021,Kindergarten,4272,polio,94.2
2010-2011,Santa Cruz,04023,Kindergarten,762,polio,97.5
2010-2011,Yavapai,04025,Kindergarten,1828,polio,91.1
2010-2011,Yuma,04027,Kindergarten,2763,polio,98.3
2010-2011,Total,04,Kindergarten,83348,polio,95.6
2010-2011,Apache,04001,Kindergarten,955,_mmr,96.6
2010-2011,Cochise,04003,Kindergarten,1559,_mmr,96.9
2010-2011,Coconino,04005,Kindergarten,1305,_mmr,93
2010-2011,Gila,04007,Kindergarten,654,_mmr,94.3
2010-2011,Graham,04009,Kindergarten,574,_mmr,94.4
2010-2011,Greenlee,04011,Kindergarten,35,_mmr,94.3
2010-2011,La Paz,04012,Kindergarten,215,_mmr,95.8
2010-2011,Maricopa,04013,Kindergarten,53120,_mmr,95.3
2010-2011,Mohave,04015,Kindergarten,1809,_mmr,92.8
2010-2011,Navajo,04017,Kindergarten,1584,_mmr,94.1
2010-2011,Pima,04019,Kindergarten,11913,_mmr,96.6
2010-2011,Pinal,04021,Kindergarten,4272,_mmr,93.6
2010-2011,Santa Cruz,04023,Kindergarten,762,_mmr,97.1
2010-2011,Yavapai,04025,Kindergarten,1828,_mmr,90
2010-2011,Yuma,04027,Kindergarten,2763,_mmr,97.8
2010-2011,Total,04,Kindergarten,83348,_mmr,95.3
2010-2011,Apache,04001,Kindergarten,955,hep_b,98.1
2010-2011,Cochise,04003,Kindergarten,1559,hep_b,98.5
2010-2011,Coconino,04005,Kindergarten,1305,hep_b,94.6
2010-2011,Gila,04007,Kindergarten,654,hep_b,98.5
2010-2011,Graham,04009,Kindergarten,574,hep_b,96.5
2010-2011,Greenlee,04011,Kindergarten,35,hep_b,94.3
2010-2011,La Paz,04012,Kindergarten,215,hep_b,97.7
2010-2011,Maricopa,04013,Kindergarten,53120,hep_b,96.5
2010-2011,Mohave,04015,Kindergarten,1809,hep_b,94.5
2010-2011,Navajo,04017,Kindergarten,1584,hep_b,96.9
2010-2011,Pima,04019,Kindergarten,11913,hep_b,97.8
2010-2011,Pinal,04021,Kindergarten,4272,hep_b,95.7
2010-2011,Santa Cruz,04023,Kindergarten,762,hep_b,98.4
2010-2011,Yavapai,04025,Kindergarten,1828,hep_b,93.9
2010-2011,Yuma,04027,Kindergarten,2763,hep_b,99
2010-2011,Total,04,Kindergarten,83348,hep_b,96.6
2010-2011,Apache,04001,Kindergarten,955,varicella,5.3
2010-2011,Cochise,04003,Kindergarten,1559,varicella,15.4
2010-2011,Coconino,04005,Kindergarten,1305,varicella,11.2
2010-2011,Gila,04007,Kindergarten,654,varicella,9.8
2010-2011,Graham,04009,Kindergarten,574,varicella,11.7
2010-2011,Greenlee,04011,Kindergarten,35,varicella,40
2010-2011,La Paz,04012,Kindergarten,215,varicella,2.3
2010-2011,Maricopa,04013,Kindergarten,53120,varicella,15.6
2010-2011,Mohave,04015,Kindergarten,1809,varicella,17.2
2010-2011,Navajo,04017,Kindergarten,1584,varicella,17.8
2010-2011,Pima,04019,Kindergarten,11913,varicella,16.6
2010-2011,Pinal,04021,Kindergarten,4272,varicella,21.2
2010-2011,Santa Cruz,04023,Kindergarten,762,varicella,24
2010-2011,Yavapai,04025,Kindergarten,1828,varicella,29
2010-2011,Yuma,04027,Kindergarten,2763,varicella,14.5
2010-2011,Total,04,Kindergarten,83348,varicella,16.1
2010-2011,Apache,04001,Kindergarten,955,personal_exempt,1.4
2010-2011,Cochise,04003,Kindergarten,1559,personal_exempt,1.9
2010-2011,Coconino,04005,Kindergarten,1305,personal_exempt,5.1
2010-2011,Gila,04007,Kindergarten,654,personal_exempt,1.4
2010-2011,Graham,04009,Kindergarten,574,personal_exempt,2.1
2010-2011,Greenlee,04011,Kindergarten,35,personal_exempt,6
2010-2011,La Paz,04012,Kindergarten,215,personal_exempt,1.4
2010-2011,Maricopa,04013,Kindergarten,53120,personal_exempt,3.4
2010-2011,Mohave,04015,Kindergarten,1809,personal_exempt,4.8
2010-2011,Navajo,04017,Kindergarten,1584,personal_exempt,3.5
2010-2011,Pima,04019,Kindergarten,11913,personal_exempt,2.5
2010-2011,Pinal,04021,Kindergarten,4272,personal_exempt,3.6
2010-2011,Santa Cruz,04023,Kindergarten,762,personal_exempt,1.6
2010-2011,Yavapai,04025,Kindergarten,1828,personal_exempt,8.5
2010-2011,Yuma,04027,Kindergarten,2763,personal_exempt,0.6
2010-2011,Total,04,Kindergarten,83348,personal_exempt,3.2
2010-2011,Apache,04001,Kindergarten,955,medical_exempt,0.1
2010-2011,Cochise,04003,Kindergarten,1559,medical_exempt,0.2
2010-2011,Coconino,04005,Kindergarten,1305,medical_exempt,0.3
2010-2011,Gila,04007,Kindergarten,654,medical_exempt,0.2
2010-2011,Graham,04009,Kindergarten,574,medical_exempt,0.2
2010-2011,Greenlee,04011,Kindergarten,35,medical_exempt,0
2010-2011,La Paz,04012,Kindergarten,215,medical_exempt,0
2010-2011,Maricopa,04013,Kindergarten,53120,medical_exempt,0.2
2010-2011,Mohave,04015,Kindergarten,1809,medical_exempt,0.2
2010-2011,Navajo,04017,Kindergarten,1584,medical_exempt,0.1
2010-2011,Pima,04019,Kindergarten,11913,medical_exempt,0.1
2010-2011,Pinal,04021,Kindergarten,4272,medical_exempt,0.2
2010-2011,Santa Cruz,04023,Kindergarten,762,medical_exempt,0.4
2010-2011,Yavapai,04025,Kindergarten,1828,medical_exempt,0.3
2010-2011,Yuma,04027,Kindergarten,2763,medical_exempt,0
2010-2011,Total,04,Kindergarten,83348,medical_exempt,0.3
2011-2012,Apache,04001,Kindergarten,836,dtap,95.9
2011-2012,Cochise,04003,Kindergarten,1645,dtap,95
2011-2012,Coconino,04005,Kindergarten,1213,dtap,91.4
2011-2012,Gila,04007,Kindergarten,599,dtap,97.2
2011-2012,Graham,04009,Kindergarten,586,dtap,94.4
2011-2012,Greenlee,04011,Kindergarten,27,dtap,85.2
2011-2012,La Paz,04012,Kindergarten,231,dtap,97.4
2011-2012,Maricopa,04013,Kindergarten,54518,dtap,94.8
2011-2012,Mohave,04015,Kindergarten,1801,dtap,90.3
2011-2012,Navajo,04017,Kindergarten,1628,dtap,94.8
2011-2012,Pima,04019,Kindergarten,12087,dtap,96.2
2011-2012,Pinal,04021,Kindergarten,4633,dtap,93.9
2011-2012,Santa Cruz,04023,Kindergarten,735,dtap,98.2
2011-2012,Yavapai,04025,Kindergarten,1886,dtap,89.6
2011-2012,Yuma,04027,Kindergarten,2811,dtap,98.2
2011-2012,Total,04,Kindergarten,85316,dtap,94.9
