"","year","geography","grade","N","vax","value","percent_surveyed"
"1","2016-17","Indiana","Kindergarten",83263,"full_exempt","1.0",NA
"2","2017-18","Indiana","Kindergarten",84296,"full_exempt","0.9",NA
"3","2019-20","Indiana","Kindergarten",88253,"full_exempt","2.2",NA
"4","2020-21","Indiana","Kindergarten",78694,"full_exempt","1.9",71.4
"5","2018-19","Indiana","Kindergarten",82324,"full_exempt","1.3",NA
"6","2009-10","Indiana","Kindergarten",84390,"medical_exempt","0.3",NA
"7","2010-11","Indiana","Kindergarten",NA,"medical_exempt",NA,NA
"8","2011-12","Indiana","Kindergarten",83416,"medical_exempt","0.2",NA
"9","2012-13","Indiana","Kindergarten",86983,"medical_exempt","0.4",NA
"10","2013-14","Indiana","Kindergarten",87193,"medical_exempt","0.4",NA
"11","2015-16","Indiana","Kindergarten",83525,"personal_exempt","1.1",NA
"12","2013-14","Indiana","Kindergarten",87193,"personal_exempt","0.8",NA
"13","2014-15","Indiana","Kindergarten",85477,"personal_exempt","0.8",NA
"14","2009-10","Indiana","Kindergarten",84390,"personal_exempt","0.8",NA
"15","2010-11","Indiana","Kindergarten",NA,"personal_exempt",NA,NA
"16","2011-12","Indiana","Kindergarten",83416,"personal_exempt","0.9",NA
"17","2012-13","Indiana","Kindergarten",86983,"personal_exempt","0.9",NA
"18","2014-15","Indiana","Kindergarten",85477,"medical_exempt","0.5",NA
"19","2015-16","Indiana","Kindergarten",83525,"medical_exempt","0.5",NA
"20","2016-17","Indiana","Kindergarten",83263,"medical_exempt","0.1",NA
"21","2017-18","Indiana","Kindergarten",84296,"medical_exempt","0.2",NA
"22","2019-20","Indiana","Kindergarten",88253,"medical_exempt","0.2",NA
"23","2018-19","Indiana","Kindergarten",82324,"medical_exempt","0.3",NA
"24","2020-21","Indiana","Kindergarten",78694,"medical_exempt","0.2",71.4
"25","2021-22","Indiana","Kindergarten",83198,"medical_exempt","0.2",75.1
"26","2012-13","Indiana","Kindergarten",86983,"full_exempt","1.3",NA
"27","2013-14","Indiana","Kindergarten",87193,"full_exempt","1.2",NA
"28","2014-15","Indiana","Kindergarten",85477,"full_exempt","1.1",NA
"29","2015-16","Indiana","Kindergarten",83525,"full_exempt","1.2",NA
"30","2011-12","Indiana","Kindergarten",83416,"full_exempt","1.2",NA
"31","2010-11","Indiana","Kindergarten",NA,"full_exempt",NA,NA
"32","2009-10","Indiana","Kindergarten",84390,"full_exempt","1.1",NA
"33","2021-22","Indiana","Kindergarten",83198,"personal_exempt","2.2",75.1
"34","2017-18","Indiana","Kindergarten",84296,"personal_exempt","0.7",NA
"35","2018-19","Indiana","Kindergarten",82324,"personal_exempt","1.0",NA
"36","2020-21","Indiana","Kindergarten",78694,"personal_exempt","1.7",71.4
"37","2019-20","Indiana","Kindergarten",88253,"personal_exempt","1.9",NA
"38","2016-17","Indiana","Kindergarten",83263,"personal_exempt","0.8",NA
"39","2021-22","Indiana","Kindergarten",83198,"full_exempt","2.4",75.1
"40","2022-23","Indiana","Kindergarten",81307,"personal_exempt","2.5",87.5
"41","2022-23","Indiana","Kindergarten",81307,"medical_exempt","0.2",87.5
"42","2022-23","Indiana","Kindergarten",81307,"full_exempt","2.8",87.5
"43","2023-24","Indiana","Kindergarten",80639,"personal_exempt","2.4",88.5
"44","2023-24","Indiana","Kindergarten",80639,"medical_exempt","0.1",88.5
"45","2023-24","Indiana","Kindergarten",80639,"full_exempt","2.4",88.5
"46","2022-23","Maryland","Kindergarten",59684,"personal_exempt","1.4",100
"47","2022-23","Maryland","Kindergarten",59684,"medical_exempt","0.5",100
"48","2022-23","Maryland","Kindergarten",59684,"full_exempt","1.9",100
"49","2022-23","New Mexico","Kindergarten",21068,"medical_exempt","0.1",100
"50","2022-23","New Mexico","Kindergarten",21068,"personal_exempt","1.4",100
"51","2022-23","New Mexico","Kindergarten",21068,"full_exempt","1.5",100
"52","2023-24","New Mexico","Kindergarten",20699,"personal_exempt","1.4",100
"53","2023-24","New Mexico","Kindergarten",20699,"medical_exempt","0.1",100
"54","2023-24","New Mexico","Kindergarten",20699,"full_exempt","1.6",100
"55","2016-17","New Mexico","Kindergarten",27119,"personal_exempt","2.2",NA
"56","2019-20","New Mexico","Kindergarten",23087,"personal_exempt","1.3",NA
"57","2020-21","New Mexico","Kindergarten",20589,"personal_exempt","0.8",100
"58","2018-19","New Mexico","Kindergarten",25269,"personal_exempt","1.2",NA
"59","2017-18","New Mexico","Kindergarten",26896,"personal_exempt","1.5",NA
"60","2009-10","New Mexico","Kindergarten",26318,"full_exempt","0.7",NA
"61","2021-22","New Mexico","Kindergarten",20736,"personal_exempt","1.1",100
"62","2021-22","New Mexico","Kindergarten",20736,"full_exempt","1.4",100
"63","2018-19","New Mexico","Kindergarten",25269,"full_exempt","1.5",NA
"64","2020-21","New Mexico","Kindergarten",20589,"full_exempt","0.9",100
"65","2019-20","New Mexico","Kindergarten",23087,"full_exempt","1.5",NA
"66","2015-16","New Mexico","Kindergarten",29049,"full_exempt","1.3",NA
"67","2014-15","New Mexico","Kindergarten",29918,"full_exempt","1.2",NA
"68","2013-14","New Mexico","Kindergarten",30725,"full_exempt","1.1",NA
"69","2012-13","New Mexico","Kindergarten",29279,"full_exempt","0.4",NA
"70","2010-11","New Mexico","Kindergarten",NA,"full_exempt",NA,NA
"71","2011-12","New Mexico","Kindergarten",29159,"full_exempt","2.0",NA
"72","2017-18","New Mexico","Kindergarten",26896,"full_exempt","1.7",NA
"73","2016-17","New Mexico","Kindergarten",27119,"full_exempt","2.3",NA
"74","2013-14","New Mexico","Kindergarten",30725,"medical_exempt","0.2",NA
"75","2012-13","New Mexico","Kindergarten",29279,"medical_exempt","0.2",NA
"76","2011-12","New Mexico","Kindergarten",29159,"medical_exempt","0.1",NA
"77","2010-11","New Mexico","Kindergarten",NA,"medical_exempt",NA,NA
"78","2009-10","New Mexico","Kindergarten",26318,"medical_exempt",NA,NA
"79","2014-15","New Mexico","Kindergarten",29918,"personal_exempt","1.2",NA
"80","2013-14","New Mexico","Kindergarten",30725,"personal_exempt","0.9",NA
"81","2015-16","New Mexico","Kindergarten",29049,"personal_exempt","1.2",NA
"82","2012-13","New Mexico","Kindergarten",29279,"personal_exempt","0.2",NA
"83","2011-12","New Mexico","Kindergarten",29159,"personal_exempt","2.0",NA
"84","2010-11","New Mexico","Kindergarten",NA,"personal_exempt",NA,NA
"85","2009-10","New Mexico","Kindergarten",26318,"personal_exempt","0.7",NA
"86","2021-22","New Mexico","Kindergarten",20736,"medical_exempt","0.3",100
"87","2020-21","New Mexico","Kindergarten",20589,"medical_exempt","0.1",100
"88","2018-19","New Mexico","Kindergarten",25269,"medical_exempt","0.3",NA
"89","2019-20","New Mexico","Kindergarten",23087,"medical_exempt","0.2",NA
"90","2017-18","New Mexico","Kindergarten",26896,"medical_exempt","0.2",NA
"91","2016-17","New Mexico","Kindergarten",27119,"medical_exempt","0.1",NA
"92","2015-16","New Mexico","Kindergarten",29049,"medical_exempt","0.1",NA
"93","2014-15","New Mexico","Kindergarten",29918,"medical_exempt","0.1",NA
"94","2022-23","Ohio","Kindergarten",134893,"full_exempt","3.8",93.7
"95","2022-23","Ohio","Kindergarten",134893,"medical_exempt","0.2",93.7
"96","2022-23","Ohio","Kindergarten",134893,"personal_exempt","3.6",93.7
"97","2023-24","Massachusetts","Kindergarten",65424,"full_exempt","1.4",100
"98","2023-24","Massachusetts","Kindergarten",65424,"medical_exempt","0.2",100
"99","2023-24","Massachusetts","Kindergarten",65424,"personal_exempt","1.2",100
"100","2014-15","Massachusetts","Kindergarten",74869,"personal_exempt","1.1",NA
"101","2013-14","Massachusetts","Kindergarten",79894,"personal_exempt","1.1",NA
"102","2015-16","Massachusetts","Kindergarten",72897,"personal_exempt","1.0",NA
"103","2012-13","Massachusetts","Kindergarten",79661,"personal_exempt","1.1",NA
"104","2011-12","Massachusetts","Kindergarten",79551,"personal_exempt","1.0",NA
"105","2010-11","Massachusetts","Kindergarten",NA,"personal_exempt",NA,NA
"106","2009-10","Massachusetts","Kindergarten",74476,"personal_exempt","0.7",NA
"107","2021-22","Massachusetts","Kindergarten",65582,"medical_exempt","0.2",100
"108","2016-17","Massachusetts","Kindergarten",70109,"personal_exempt","1.0",NA
"109","2019-20","Massachusetts","Kindergarten",66756,"personal_exempt","1.1",NA
"110","2020-21","Massachusetts","Kindergarten",60724,"personal_exempt","0.9",100
"111","2018-19","Massachusetts","Kindergarten",65279,"personal_exempt","1.1",NA
"112","2017-18","Massachusetts","Kindergarten",63377,"personal_exempt","1.1",NA
"113","2021-22","Massachusetts","Kindergarten",65582,"personal_exempt","0.9",100
"114","2009-10","Massachusetts","Kindergarten",74476,"full_exempt","1.1",NA
"115","2010-11","Massachusetts","Kindergarten",NA,"full_exempt",NA,NA
"116","2015-16","Massachusetts","Kindergarten",72897,"full_exempt","1.3",NA
"117","2014-15","Massachusetts","Kindergarten",74869,"full_exempt","1.4",NA
"118","2013-14","Massachusetts","Kindergarten",79894,"full_exempt","1.5",NA
"119","2012-13","Massachusetts","Kindergarten",79661,"full_exempt","1.5",NA
"120","2011-12","Massachusetts","Kindergarten",79551,"full_exempt","1.4",NA
"121","2020-21","Massachusetts","Kindergarten",60724,"medical_exempt","0.2",100
"122","2018-19","Massachusetts","Kindergarten",65279,"medical_exempt","0.3",NA
"123","2019-20","Massachusetts","Kindergarten",66756,"medical_exempt","0.2",NA
"124","2017-18","Massachusetts","Kindergarten",63377,"medical_exempt","0.3",NA
"125","2016-17","Massachusetts","Kindergarten",70109,"medical_exempt","0.3",NA
"126","2015-16","Massachusetts","Kindergarten",72897,"medical_exempt","0.3",NA
"127","2014-15","Massachusetts","Kindergarten",74869,"medical_exempt","0.3",NA
"128","2013-14","Massachusetts","Kindergarten",79894,"medical_exempt","0.4",NA
"129","2012-13","Massachusetts","Kindergarten",79661,"medical_exempt","0.5",NA
"130","2011-12","Massachusetts","Kindergarten",79551,"medical_exempt","0.4",NA
"131","2010-11","Massachusetts","Kindergarten",NA,"medical_exempt",NA,NA
"132","2009-10","Massachusetts","Kindergarten",74476,"medical_exempt","0.4",NA
"133","2022-23","NY-City of New York","Kindergarten",85379,"medical_exempt","0.1",97.6
"134","2022-23","NY-City of New York","Kindergarten",85379,"full_exempt","0.1",97.6
"135","2012-13","Wyoming","Kindergarten",8133,"medical_exempt","0.3",NA
"136","2016-17","Oklahoma","Kindergarten",52184,"full_exempt","1.9",NA
"137","2017-18","Oklahoma","Kindergarten",53898,"full_exempt","2.2",NA
"138","2021-22","Oklahoma","Kindergarten",54042,"full_exempt","3.5",84.3
"139","2018-19","Oklahoma","Kindergarten",54806,"full_exempt","2.6",NA
"140","2019-20","Oklahoma","Kindergarten",55348,"full_exempt","2.7",NA
"141","2020-21","Oklahoma","Kindergarten",52656,"full_exempt","2.4",90
"142","2012-13","Oklahoma","Kindergarten",56943,"full_exempt","1.3",NA
"143","2013-14","Oklahoma","Kindergarten",57377,"full_exempt","1.5",NA
"144","2014-15","Oklahoma","Kindergarten",56967,"full_exempt","1.5",NA
"145","2015-16","Oklahoma","Kindergarten",54335,"full_exempt","1.6",NA
"146","2011-12","Oklahoma","Kindergarten",52987,"full_exempt","1.1",NA
"147","2010-11","Oklahoma","Kindergarten",NA,"full_exempt",NA,NA
"148","2021-22","Oklahoma","Kindergarten",54042,"personal_exempt","3.3",84.3
"149","2009-10","Oklahoma","Kindergarten",51128,"full_exempt","1.1",NA
"150","2019-20","Oklahoma","Kindergarten",55348,"personal_exempt","2.5",NA
"151","2020-21","Oklahoma","Kindergarten",52656,"personal_exempt","2.3",90
"152","2017-18","Oklahoma","Kindergarten",53898,"personal_exempt","1.8",NA
"153","2018-19","Oklahoma","Kindergarten",54806,"personal_exempt","2.5",NA
"154","2016-17","Oklahoma","Kindergarten",52184,"personal_exempt","1.7",NA
"155","2023-24","Oklahoma","Kindergarten",49979,"personal_exempt","5.5",93.8
"156","2023-24","Oklahoma","Kindergarten",49979,"medical_exempt","0.2",93.8
"157","2023-24","Oklahoma","Kindergarten",49979,"full_exempt","5.7",93.8
"158","2010-11","Wyoming","Kindergarten",NA,"medical_exempt",NA,NA
"159","2019-20","New York","Kindergarten",234165,"full_exempt","0.1",NA
"160","2020-21","New York","Kindergarten",216804,"full_exempt","0.1",91.5
"161","2018-19","New York","Kindergarten",220495,"full_exempt","1.3",NA
"162","2016-17","New York","Kindergarten",227050,"full_exempt","1.0",NA
"163","2017-18","New York","Kindergarten",226456,"full_exempt","1.1",NA
"164","2021-22","New York","Kindergarten",195377,"full_exempt","0.1",99.3
"165","2011-12","New York","Kindergarten",236016,"full_exempt","0.7",NA
"166","2010-11","New York","Kindergarten",NA,"full_exempt",NA,NA
"167","2012-13","New York","Kindergarten",239484,"full_exempt","0.7",NA
"168","2013-14","New York","Kindergarten",240318,"full_exempt","0.8",NA
"169","2014-15","New York","Kindergarten",237045,"full_exempt","0.8",NA
"170","2015-16","New York","Kindergarten",232521,"full_exempt","0.9",NA
"171","2009-10","New York","Kindergarten",229273,"full_exempt","0.6",NA
"172","2017-18","New York","Kindergarten",226456,"personal_exempt","1.0",NA
"173","2018-19","New York","Kindergarten",220495,"personal_exempt","1.1",NA
"174","2016-17","New York","Kindergarten",227050,"personal_exempt","0.9",NA
"175","2022-23","New York","Kindergarten",205906,"full_exempt","0.1",96.6
"176","2022-23","New York","Kindergarten",205906,"medical_exempt","0.1",96.6
"177","2022-23","District of Columbia","Kindergarten",8064,"personal_exempt","0.9",100
"178","2022-23","District of Columbia","Kindergarten",8064,"medical_exempt","0.3",100
"179","2022-23","District of Columbia","Kindergarten",8064,"full_exempt","1.3",100
"180","2023-24","Arizona","Kindergarten",74834,"medical_exempt","0.4",99.6
"181","2023-24","Arizona","Kindergarten",74834,"personal_exempt","8.1",99.6
"182","2023-24","Arizona","Kindergarten",74834,"full_exempt","8.5",99.6
"183","2011-12","Arizona","Kindergarten",88293,"full_exempt","3.7",NA
"184","2018-19","Arizona","Kindergarten",79981,"full_exempt","6.0",NA
"185","2019-20","Arizona","Kindergarten",83976,"full_exempt","5.5",NA
"186","2020-21","Arizona","Kindergarten",76382,"full_exempt","5.5",93.4
"187","2012-13","Arizona","Kindergarten",90054,"full_exempt","4.2",NA
