"","sero","State","N_cases","mean_cases","pct"
"1","1","CA",1,1,0.408163265306122
"2","1","CO",NA,NA,0
"3","1","CT",NA,NA,0
"4","1","GA",NA,NA,0
"5","1","MD",NA,NA,0
"6","1","MN",NA,NA,0
"7","1","NM",NA,NA,0
"8","1","NY",NA,NA,0
"9","1","OR",NA,NA,0
"10","1","TN",NA,NA,0
"11","10A","CA",2,2,0.816326530612245
"12","10A","CO",NA,NA,0
"13","10A","CT",7,7,3.07017543859649
"14","10A","GA",3,3,0.864553314121038
"15","10A","MD",9,9,3.6
"16","10A","MN",11,11,2.28215767634855
"17","10A","NM",7,7,2.36486486486486
"18","10A","NY",1,1,0.598802395209581
"19","10A","OR",4,4,2.87769784172662
"20","10A","TN",9,9,2.43243243243243
"21","10F","CA",2,2,0.816326530612245
"22","10F","CO",1,1,0.393700787401575
"23","10F","CT",NA,NA,0
"24","10F","GA",NA,NA,0
"25","10F","MD",NA,NA,0
"26","10F","MN",NA,NA,0
"27","10F","NM",NA,NA,0
"28","10F","NY",NA,NA,0
"29","10F","OR",NA,NA,0
"30","10F","TN",NA,NA,0
"31","11A","CA",14,14,5.71428571428571
"32","11A","CO",8,8,3.1496062992126
"33","11A","CT",8,8,3.50877192982456
"34","11A","GA",12,12,3.45821325648415
"35","11A","MD",12,12,4.8
"36","11A","MN",13,13,2.69709543568465
"37","11A","NM",9,9,3.04054054054054
"38","11A","NY",8,8,4.79041916167665
"39","11A","OR",2,2,1.43884892086331
"40","11A","TN",12,12,3.24324324324324
"41","12F","CA",17,17,6.93877551020408
"42","12F","CO",19,19,7.48031496062992
"43","12F","CT",2,2,0.87719298245614
"44","12F","GA",5,5,1.44092219020173
"45","12F","MD",3,3,1.2
"46","12F","MN",6,6,1.2448132780083
"47","12F","NM",31,31,10.472972972973
"48","12F","NY",2,2,1.19760479041916
"49","12F","OR",8,8,5.75539568345324
"50","12F","TN",9,9,2.43243243243243
"51","13","CA",1,1,0.408163265306122
"52","13","CO",NA,NA,0
"53","13","CT",NA,NA,0
"54","13","GA",2,2,0.576368876080692
"55","13","MD",1,1,0.4
"56","13","MN",1,1,0.20746887966805
"57","13","NM",NA,NA,0
"58","13","NY",NA,NA,0
"59","13","OR",NA,NA,0
"60","13","TN",NA,NA,0
"61","14","CA",2,2,0.816326530612245
"62","14","CO",NA,NA,0
