"","st","agec2","year","N_IPD"
"1","1","<5 years",1998,7
"2","1","<5 years",1999,6
"3","1","<5 years",2000,8
"4","1","<5 years",2001,3
"5","1","<5 years",2002,5
"6","1","<5 years",2003,1
"7","1","<5 years",2004,8
"8","1","<5 years",2005,7
"9","1","<5 years",2006,7
"10","1","<5 years",2007,4
"11","1","<5 years",2008,6
"12","1","<5 years",2009,7
"13","1","5-49 years",1998,49
"14","1","5-49 years",1999,34
"15","1","5-49 years",2000,29
"16","1","5-49 years",2001,27
"17","1","5-49 years",2002,19
"18","1","5-49 years",2003,23
"19","1","5-49 years",2004,18
"20","1","5-49 years",2005,29
"21","1","5-49 years",2006,33
"22","1","5-49 years",2007,20
"23","1","5-49 years",2008,35
"24","1","5-49 years",2009,24
"25","1","5-49 years",2010,21
"26","1","5-49 years",2011,4
"27","1","5-49 years",2012,5
"28","1","5-49 years",2013,2
"29","1","5-49 years",2016,1
"30","1","5-49 years",2018,1
"31","1","5-49 years",2019,1
"32","1","5-49 years",2022,1
"33","1","50+ years",1998,31
"34","1","50+ years",1999,19
"35","1","50+ years",2000,13
"36","1","50+ years",2001,14
"37","1","50+ years",2002,8
"38","1","50+ years",2003,16
"39","1","50+ years",2004,10
"40","1","50+ years",2005,16
"41","1","50+ years",2006,16
"42","1","50+ years",2007,18
"43","1","50+ years",2008,22
"44","1","50+ years",2009,14
"45","1","50+ years",2010,13
"46","1","50+ years",2011,6
"47","1","50+ years",2012,2
"48","1","50+ years",2013,2
"49","10A","<5 years",1998,3
"50","10A","<5 years",1999,1
"51","10A","<5 years",2000,4
"52","10A","<5 years",2001,3
"53","10A","<5 years",2002,6
"54","10A","<5 years",2003,5
"55","10A","<5 years",2004,4
"56","10A","<5 years",2005,7
"57","10A","<5 years",2006,8
"58","10A","<5 years",2007,11
"59","10A","<5 years",2008,4
"60","10A","<5 years",2009,8
"61","10A","<5 years",2010,7
"62","10A","<5 years",2011,4
"63","10A","<5 years",2012,8
"64","10A","<5 years",2013,4
"65","10A","<5 years",2014,10
"66","10A","<5 years",2015,10
"67","10A","<5 years",2016,4
"68","10A","<5 years",2017,4
"69","10A","<5 years",2018,6
"70","10A","<5 years",2019,5
"71","10A","<5 years",2020,1
"72","10A","<5 years",2021,3
