"","age_level","Sex","Year","Outcome_value1","outcome_type","outcome_label1","domain","date_resolution","update_frequency","source","url","geo_strata","age_strata","race_strata","race_level","additional_strata1","additional_strata_level","sex_strata","sex_level"
"1","10 to 14","Males",2023,119.93,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"2","10 to 14","Females",2023,596.03,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"3","10 to 14","Males",2022,132.08,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"4","10 to 14","Females",2022,626.31,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"5","10 to 14","Males",2021,96.58,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"6","10 to 14","Females",2021,588.42,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"7","10 to 14","Males",2020,69.32,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"8","10 to 14","Females",2020,427.46,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"9","10 to 14","Males",2019,82.26,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"10","10 to 14","Females",2019,383.78,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"11","10 to 14","Males",2018,85.53,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"12","10 to 14","Females",2018,343.64,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"13","10 to 14","Males",2017,61.93,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"14","10 to 14","Females",2017,339.53,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"15","10 to 14","Males",2016,51.15,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"16","10 to 14","Females",2016,308.1,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"17","10 to 14","Males",2015,44.14,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"18","10 to 14","Females",2015,317.86,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"19","10 to 14","Males",2014,46.48,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"20","10 to 14","Females",2014,314.92,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"21","10 to 14","Males",2013,57.64,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"22","10 to 14","Females",2013,278.55,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"23","10 to 14","Males",2012,40.53,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"24","10 to 14","Females",2012,200.77,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"25","10 to 14","Males",2011,43.89,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
"26","10 to 14","Females",2011,182.23,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Females","none",NA
"27","10 to 14","Males",2010,49.26,"Self harm","Self-harm","Injury and overdose","year","yearly","WISQARS (CDC)","https://wisqars.cdc.gov/","none","Age.Group","none",NA,"Sex","Males","none",NA
