Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,,,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groupsSlice weekly from Jan 6, 2019- march 5 2025",,,
Session ID,2726769,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,
Session Date Range,1/1/2023 - 3/26/2025 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,4/11/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023,Jan 1 – Jan 7,2085
,,,Jan 8 – Jan 14,1714
,,,Jan 15 – Jan 21,1744
,,,Jan 22 – Jan 28,1719
,,,Jan 29 – Feb 4,1813
,,,Feb 5 – Feb 11,1834
,,,Feb 12 – Feb 18,1733
,,,Feb 19 – Feb 25,1790
,,,Feb 26 – Mar 4,1691
,,,Mar 5 – Mar 11,1803
,,,Mar 12 – Mar 18,1758
,,,Mar 19 – Mar 25,1726
,,,Mar 26 – Apr 1,1763
,,,Apr 2 – Apr 8,1714
,,,Apr 9 – Apr 15,1791
,,,Apr 16 – Apr 22,1695
,,,Apr 23 – Apr 29,1695
,,,Apr 30 – May 6,1612
,,,May 7 – May 13,1552
,,,May 14 – May 20,1687
,,,May 21 – May 27,1687
,,,May 28 – Jun 3,1814
,,,Jun 4 – Jun 10,1779
,,,Jun 11 – Jun 17,1605
,,,Jun 18 – Jun 24,1588
,,,Jun 25 – Jul 1,1554
,,,Jul 2 – Jul 8,1586
,,,Jul 9 – Jul 15,1490
,,,Jul 16 – Jul 22,1599
,,,Jul 23 – Jul 29,1680
,,,Jul 30 – Aug 5,1719
,,,Aug 6 – Aug 12,1819
,,,Aug 13 – Aug 19,1782
,,,Aug 20 – Aug 26,2181
,,,Aug 27 – Sep 2,2156
,,,Sep 3 – Sep 9,2103
,,,Sep 10 – Sep 16,1892
,,,Sep 17 – Sep 23,1900
,,,Sep 24 – Sep 30,2069
,,,Oct 1 – Oct 7,2105
,,,Oct 8 – Oct 14,2166
,,,Oct 15 – Oct 21,2254
,,,Oct 22 – Oct 28,2377
,,,Oct 29 – Nov 4,2298
,,,Nov 5 – Nov 11,2241
,,,Nov 12 – Nov 18,2145
,,,Nov 19 – Nov 25,2297
,,,Nov 26 – Dec 2,2166
,,,Dec 3 – Dec 9,1970
,,,Dec 10 – Dec 16,2003
,,,Dec 17 – Dec 23,2012
,,,Dec 24 – Dec 30,2165
,,2023 – 2024,Dec 31 – Jan 6,2149
,,2024,Jan 7 – Jan 13,1793
,,,Jan 14 – Jan 20,1671
,,,Jan 21 – Jan 27,1727
,,,Jan 28 – Feb 3,1764
,,,Feb 4 – Feb 10,1820
,,,Feb 11 – Feb 17,1764
,,,Feb 18 – Feb 24,1763
,,,Feb 25 – Mar 2,1718
,,,Mar 3 – Mar 9,1764
,,,Mar 10 – Mar 16,1735
,,,Mar 17 – Mar 23,1843
,,,Mar 24 – Mar 30,1717
,,,Mar 31 – Apr 6,1685
,,,Apr 7 – Apr 13,1694
,,,Apr 14 – Apr 20,1748
,,,Apr 21 – Apr 27,1730
,,,Apr 28 – May 4,1696
,,,May 5 – May 11,1681
,,,May 12 – May 18,1655
,,,May 19 – May 25,1736
,,,May 26 – Jun 1,1846
,,,Jun 2 – Jun 8,1717
,,,Jun 9 – Jun 15,1623
,,,Jun 16 – Jun 22,1609
,,,Jun 23 – Jun 29,1578
,,,Jun 30 – Jul 6,1734
,,,Jul 7 – Jul 13,1826
,,,Jul 14 – Jul 20,1789
,,,Jul 21 – Jul 27,1736
,,,Jul 28 – Aug 3,1763
,,,Aug 4 – Aug 10,1637
,,,Aug 11 – Aug 17,1633
,,,Aug 18 – Aug 24,1767
,,,Aug 25 – Aug 31,1896
,,,Sep 1 – Sep 7,1907
,,,Sep 8 – Sep 14,1830
,,,Sep 15 – Sep 21,1871
,,,Sep 22 – Sep 28,1780
,,,Sep 29 – Oct 5,1803
,,,Oct 6 – Oct 12,1784
,,,Oct 13 – Oct 19,1865
,,,Oct 20 – Oct 26,1754
,,,Oct 27 – Nov 2,1885
,,,Nov 3 – Nov 9,2109
,,,Nov 10 – Nov 16,2134
,,,Nov 17 – Nov 23,2190
,,,Nov 24 – Nov 30,2337
,,,Dec 1 – Dec 7,2201
,,,Dec 8 – Dec 14,2114
,,,Dec 15 – Dec 21,2190
,,,Dec 22 – Dec 28,2517
,,2024 – 2025,Dec 29 – Jan 4,2550
,,2025,Jan 5 – Jan 11,1963
,,,Jan 12 – Jan 18,1917
,,,Jan 19 – Jan 25,1915
,,,Jan 26 – Feb 1,2139
,,,Feb 2 – Feb 8,2142
,,,Feb 9 – Feb 15,1960
,,,Feb 16 – Feb 22,1814
,,,Feb 23 – Mar 1,1813
,,,Mar 2 – Mar 8,1863
,,,Mar 9 – Mar 15,1853
,,,Mar 16 – Mar 22,1940
,,,Mar 23 – Mar 26,1046
,≥ 1 and < 5 Years,2023,Jan 1 – Jan 7,5208
,,,Jan 8 – Jan 14,4612
,,,Jan 15 – Jan 21,4753
,,,Jan 22 – Jan 28,4935
,,,Jan 29 – Feb 4,5256
,,,Feb 5 – Feb 11,5420
,,,Feb 12 – Feb 18,5261
,,,Feb 19 – Feb 25,5391
,,,Feb 26 – Mar 4,5562
,,,Mar 5 – Mar 11,5605
,,,Mar 12 – Mar 18,5305
,,,Mar 19 – Mar 25,5095
,,,Mar 26 – Apr 1,5082
,,,Apr 2 – Apr 8,4982
,,,Apr 9 – Apr 15,4950
,,,Apr 16 – Apr 22,5224
,,,Apr 23 – Apr 29,5312
,,,Apr 30 – May 6,5112
,,,May 7 – May 13,5143
,,,May 14 – May 20,5160
,,,May 21 – May 27,5102
,,,May 28 – Jun 3,5176
,,,Jun 4 – Jun 10,4950
,,,Jun 11 – Jun 17,4471
,,,Jun 18 – Jun 24,4381
,,,Jun 25 – Jul 1,4294
,,,Jul 2 – Jul 8,4360
,,,Jul 9 – Jul 15,4166
,,,Jul 16 – Jul 22,4144
,,,Jul 23 – Jul 29,4031
,,,Jul 30 – Aug 5,4190
,,,Aug 6 – Aug 12,4088
,,,Aug 13 – Aug 19,4456
,,,Aug 20 – Aug 26,5017
,,,Aug 27 – Sep 2,5260
,,,Sep 3 – Sep 9,5395
,,,Sep 10 – Sep 16,5233
,,,Sep 17 – Sep 23,5267
,,,Sep 24 – Sep 30,5629
,,,Oct 1 – Oct 7,5947
,,,Oct 8 – Oct 14,6091
,,,Oct 15 – Oct 21,6197
,,,Oct 22 – Oct 28,6312
,,,Oct 29 – Nov 4,5962
,,,Nov 5 – Nov 11,6388
,,,Nov 12 – Nov 18,5907
,,,Nov 19 – Nov 25,5821
,,,Nov 26 – Dec 2,5224
,,,Dec 3 – Dec 9,5275
,,,Dec 10 – Dec 16,5400
,,,Dec 17 – Dec 23,5543
,,,Dec 24 – Dec 30,5559
,,2023 – 2024,Dec 31 – Jan 6,4878
,,2024,Jan 7 – Jan 13,4322
,,,Jan 14 – Jan 20,4296
,,,Jan 21 – Jan 27,4646
,,,Jan 28 – Feb 3,4835
,,,Feb 4 – Feb 10,4925
,,,Feb 11 – Feb 17,5126
,,,Feb 18 – Feb 24,4976
,,,Feb 25 – Mar 2,5271
,,,Mar 3 – Mar 9,5462
,,,Mar 10 – Mar 16,5285
,,,Mar 17 – Mar 23,5038
,,,Mar 24 – Mar 30,4778
,,,Mar 31 – Apr 6,4866
,,,Apr 7 – Apr 13,5059
,,,Apr 14 – Apr 20,5024
,,,Apr 21 – Apr 27,5107
,,,Apr 28 – May 4,4819
,,,May 5 – May 11,4931
,,,May 12 – May 18,4842
,,,May 19 – May 25,4975
,,,May 26 – Jun 1,5056
,,,Jun 2 – Jun 8,4542
,,,Jun 9 – Jun 15,4253
,,,Jun 16 – Jun 22,4294
,,,Jun 23 – Jun 29,4145
,,,Jun 30 – Jul 6,4325
,,,Jul 7 – Jul 13,3955
,,,Jul 14 – Jul 20,3981
,,,Jul 21 – Jul 27,3918
,,,Jul 28 – Aug 3,3764
,,,Aug 4 – Aug 10,3800
,,,Aug 11 – Aug 17,3684
,,,Aug 18 – Aug 24,4388
,,,Aug 25 – Aug 31,4709
,,,Sep 1 – Sep 7,4896
,,,Sep 8 – Sep 14,4694
,,,Sep 15 – Sep 21,5073
,,,Sep 22 – Sep 28,4957
,,,Sep 29 – Oct 5,4895
,,,Oct 6 – Oct 12,4901
,,,Oct 13 – Oct 19,4770
,,,Oct 20 – Oct 26,4988
,,,Oct 27 – Nov 2,5505
,,,Nov 3 – Nov 9,5946
,,,Nov 10 – Nov 16,6115
,,,Nov 17 – Nov 23,6124
