Session Title,"C01. HbA1c 7%, BMI 30, and Number, by state, age",,,
Session Description,"C01 HbA1c, BMI, and Number, by state, age",,,
Session ID,2731038,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,
Session Date Range,4/11/2023 - 4/10/2025,,,
Export User,Daniel Weinberger,,,
Date of Export,4/30/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Hemoglobin A1C 7.0% or more (%),Percentage with BMI 30.0  or more and 49.8  or less (%)
State of Residence (U.S.),Age in Years (Current),,,
Texas,Less than 10 years,1634066,0.093%,1%
,? 10 and < 15 years,728264,0.448%,8.6%
,? 15 and < 20 years,778427,0.775%,20.4%
,? 20 and < 40 years,2843096,1.7%,43.7%
,? 40 and < 65 years,3541414,7.9%,53.9%
,65 years or more,2317167,11.9%,47.7%
,No value,82,-,53.7%
,Total,11842516,5.2%,37.9%
California,Less than 10 years,874661,0.063%,0.918%
,? 10 and < 15 years,465112,0.242%,7.5%
,? 15 and < 20 years,553626,0.472%,16.4%
,? 20 and < 40 years,2554099,1.3%,30.8%
,? 40 and < 65 years,2998919,6.4%,38.2%
,65 years or more,2035905,9.2%,33%
,No value,51,25.5%,41.2%
,Total,9482373,4.4%,28.9%
Florida,Less than 10 years,940262,0.123%,1.2%
,? 10 and < 15 years,432328,0.549%,8.4%
,? 15 and < 20 years,483136,0.872%,18.7%
,? 20 and < 40 years,2053232,1.5%,40.2%
,? 40 and < 65 years,2788775,6.3%,49.1%
,65 years or more,2376874,9.2%,40.6%
,No value,32,-,43.8%
,Total,9074639,4.8%,36.3%
Ohio,Less than 10 years,854766,0.092%,0.914%
,? 10 and < 15 years,412400,0.417%,8.5%
,? 15 and < 20 years,475825,0.649%,21.1%
,? 20 and < 40 years,2198786,2.1%,47%
,? 40 and < 65 years,2837443,11.1%,59.8%
,65 years or more,2256197,17.7%,55.3%
,No value,58,19%,46.6%
,Total,9035475,8.5%,45.6%
New York,Less than 10 years,540269,0.133%,1.2%
,? 10 and < 15 years,272245,0.415%,8.6%
,? 15 and < 20 years,322642,0.659%,18.4%
,? 20 and < 40 years,1761773,1.5%,37.4%
,? 40 and < 65 years,2366693,7.5%,49.4%
,65 years or more,2007121,12.4%,44.9%
,No value,29,-,51.7%
,Total,7270772,6.3%,38.7%
Pennsylvania,Less than 10 years,546210,0.081%,1%
,? 10 and < 15 years,279546,0.299%,8.1%
,? 15 and < 20 years,328744,0.49%,19.2%
,? 20 and < 40 years,1770732,1.5%,41.5%
,? 40 and < 65 years,2326776,8.2%,53.5%
,65 years or more,1909992,14%,49.5%
,No value,58,-,48.3%
,Total,7162058,6.8%,42.1%
Illinois,Less than 10 years,617226,0.113%,1.2%
,? 10 and < 15 years,299214,0.461%,9.5%
,? 15 and < 20 years,355189,0.782%,21.6%
,? 20 and < 40 years,1544695,2.1%,43.4%
,? 40 and < 65 years,1926809,10.3%,55.8%
,65 years or more,1504391,15.4%,51.5%
,No value,27,-,51.9%
,Total,6247551,7.5%,42.1%
North Carolina,Less than 10 years,602760,0.11%,1.1%
,? 10 and < 15 years,272536,0.536%,9%
,? 15 and < 20 years,318736,0.882%,20.7%
,? 20 and < 40 years,1513041,2%,44.8%
,? 40 and < 65 years,1995364,10%,56.1%
,65 years or more,1536547,15%,49.3%
,No value,49,-,44.9%
,Total,6239033,7.5%,42.5%
Michigan,Less than 10 years,505776,0.199%,1.2%
,? 10 and < 15 years,241750,0.613%,9.3%
,? 15 and < 20 years,278482,0.865%,20.5%
,? 20 and < 40 years,1310526,1.9%,43.5%
,? 40 and < 65 years,1659476,9.4%,55%
,65 years or more,1340158,15.2%,50.4%
,No value,35,-,42.9%
,Total,5336203,7.3%,42.1%
Virginia,Less than 10 years,428861,0.131%,1.1%
,? 10 and < 15 years,197748,0.551%,8.7%
,? 15 and < 20 years,241229,0.812%,19.1%
,? 20 and < 40 years,1216189,1.8%,43.2%
,? 40 and < 65 years,1707148,8.7%,54.5%
,65 years or more,1312555,14.5%,48.9%
,No value,35,-,37.1%
,Total,5103765,7.2%,42.4%
Georgia,Less than 10 years,536270,0.12%,0.991%
,? 10 and < 15 years,228480,0.577%,7.8%
,? 15 and < 20 years,251913,1.1%,18.5%
,? 20 and < 40 years,812301,1.8%,42%
,? 40 and < 65 years,1117373,8.1%,53.1%
,65 years or more,825832,12.4%,44.9%
,No value,12,-,-
,Total,3772181,5.6%,36.4%
Massachusetts,Less than 10 years,314661,0.144%,0.951%
,? 10 and < 15 years,152860,0.565%,8.4%
,? 15 and < 20 years,178691,0.816%,17.7%
,? 20 and < 40 years,927193,1.4%,33%
,? 40 and < 65 years,1113377,7.4%,46.1%
,65 years or more,822205,13.3%,43.2%
,No value,23,-,-
,Total,3509010,5.9%,34.8%
South Carolina,Less than 10 years,361266,0.139%,1.5%
,? 10 and < 15 years,167166,0.592%,10.5%
,? 15 and < 20 years,190866,1%,22.8%
,? 20 and < 40 years,773297,2.2%,44.7%
,? 40 and < 65 years,1057962,10%,55.8%
,65 years or more,877715,14.7%,47.5%
,No value,31,-,58.1%
,Total,3428303,7.4%,41.4%
Wisconsin,Less than 10 years,394298,0.122%,0.86%
,? 10 and < 15 years,198995,0.484%,8.1%
,? 15 and < 20 years,212172,0.867%,19.9%
,? 20 and < 40 years,803907,2%,42.6%
,? 40 and < 65 years,967169,9.7%,57.3%
,65 years or more,721491,15.6%,55.2%
,No value,10 or fewer,-,-
,Total,3298038,6.8%,41.1%
Colorado,Less than 10 years,402511,0.122%,0.598%
,? 10 and < 15 years,184526,0.462%,4.9%
,? 15 and < 20 years,202803,0.719%,13.9%
,? 20 and < 40 years,899484,1.2%,31.4%
,? 40 and < 65 years,937019,5.4%,40.9%
,65 years or more,635502,9.3%,36.4%
,No value,16,-,-
,Total,3261861,3.8%,28.7%
Indiana,Less than 10 years,337546,0.071%,1.2%
,? 10 and < 15 years,156726,0.296%,10.1%
,? 15 and < 20 years,175234,0.555%,23%
,? 20 and < 40 years,751564,2.1%,48.3%
,? 40 and < 65 years,952054,11%,60.2%
,65 years or more,717465,17%,55%
,No value,16,-,-
,Total,3090605,7.9%,45%
New Jersey,Less than 10 years,233995,0.109%,1.5%
,? 10 and < 15 years,106356,0.543%,9.6%
,? 15 and < 20 years,133340,0.774%,18.3%
,? 20 and < 40 years,692999,1.5%,39.1%
,? 40 and < 65 years,1009969,7.3%,49.4%
,65 years or more,820101,11.3%,43.3%
,No value,21,-,-
,Total,2996781,6%,38.8%
Minnesota,Less than 10 years,295789,0.1%,0.684%
,? 10 and < 15 years,143905,0.419%,7%
,? 15 and < 20 years,158139,0.671%,18%
,? 20 and < 40 years,703008,1.8%,39.8%
,? 40 and < 65 years,859404,8.7%,53.7%
,65 years or more,681349,14.7%,51.8%
,No value,10 or fewer,-,-
,Total,2841603,6.7%,39.9%
Connecticut,Less than 10 years,251709,0.156%,1.3%
,? 10 and < 15 years,129674,0.552%,8.5%
,? 15 and < 20 years,151919,0.816%,18.3%
,? 20 and < 40 years,682529,1.4%,38.1%
,? 40 and < 65 years,889887,6.7%,51.2%
,65 years or more,692214,12%,48.2%
,No value,30,-,60%
,Total,2797962,5.5%,39%
Kentucky,Less than 10 years,308542,0.157%,1.4%
,? 10 and < 15 years,139154,0.687%,11.5%
,? 15 and < 20 years,153776,1.1%,25.2%
,? 20 and < 40 years,642585,2.2%,48.8%
,? 40 and < 65 years,847962,10.9%,60.3%
,65 years or more,628061,16.3%,52.7%
,No value,31,-,-
,Total,2720111,7.8%,44.7%
Louisiana,Less than 10 years,261760,0.088%,1.8%
,? 10 and < 15 years,117196,0.421%,10%
,? 15 and < 20 years,136913,0.698%,22.1%
,? 20 and < 40 years,586764,1.7%,45.8%
,? 40 and < 65 years,751661,9%,57.8%
,65 years or more,565520,15%,51.7%
,No value,23,-,-
,Total,2419837,6.8%,43.1%
Maryland,Less than 10 years,161980,0.126%,1.5%
,? 10 and < 15 years,64496,0.566%,8.7%
,? 15 and < 20 years,85014,0.828%,18.4%
,? 20 and < 40 years,578547,1.6%,41%
,? 40 and < 65 years,748438,8%,52.4%
,65 years or more,576459,12.9%,46.2%
,No value,16,-,-
,Total,2214950,6.5%,41.5%
Mississippi,Less than 10 years,208672,0.1%,1.9%
,? 10 and < 15 years,87225,0.643%,13.3%
,? 15 and < 20 years,106461,1.1%,26.2%
,? 20 and < 40 years,437205,2.4%,51.5%
,? 40 and < 65 years,621786,11.4%,61.9%
,65 years or more,498885,16.7%,52.2%
,No value,18,-,61.1%
,Total,1960252,8.5%,46.6%
