Session Title,HA1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,,
Session Description,"C01 HbA1c, BMI, and Number, by state, agecounties in states Kentucky-North Carolina",,,
Session ID,2731159,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia",Base Patient,,
Session Date Range,4/11/2023 - 4/10/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/1/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Hemoglobin A1C 7.0% or more (%),Percentage with BMI 30.0  or more and 49.8  or less (%)
Age in Years (Current),County of Residence,,,
Less than 10 years,"HARRIS, TX",408606,0.082%,1%
,"DALLAS, TX",127099,0.02%,1%
,"TARRANT, TX",204539,0.079%,0.971%
,"CUYAHOGA, OH",117671,0.096%,0.905%
,"PHILADELPHIA, PA",76219,0.083%,1.4%
,"FRANKLIN, OH",57160,0.051%,0.927%
,"HAMILTON, OH",91368,0.089%,0.937%
,"FAIRFAX, VA",59092,0.129%,0.792%
,"BEXAR, TX",58757,0.143%,1.3%
,"COLLIN, TX",56058,0.046%,0.755%
,"TULSA, OK",56470,0.074%,1.6%
,"MONTGOMERY, PA",30705,0.049%,0.775%
,"ALLEGHENY, PA",28412,-,0.792%
,"GREENVILLE, SC",54528,0.121%,1.2%
,"MONTGOMERY, OH",56755,0.111%,0.885%
,"DENTON, TX",59948,0.077%,0.534%
,"SALT LAKE, UT",52464,-,0.404%
,"MULTNOMAH, OR",38761,0.168%,0.622%
,"FORT BEND, TX",61961,0.145%,0.949%
,"YORK, PA",43080,0.074%,0.977%
,"TRAVIS, TX",61649,0.023%,1%
,"LEHIGH, PA",39929,0.115%,0.919%
,"BUCKS, PA",20893,0.124%,0.89%
,"LUCAS, OH",43982,0.093%,1.4%
,"CHESTER, PA",27452,0.135%,0.55%
,"BUTLER, OH",40005,0.097%,0.807%
,"SPARTANBURG, SC",39762,0.101%,1.8%
,"BELL, TX",48321,0.151%,1.3%
,"NORTHAMPTON, PA",30051,0.13%,1%
,"SHELBY, TN",24856,0.08%,0.62%
,"MONTGOMERY, TX",57510,0.132%,0.829%
,"DELAWARE, PA",23509,0.136%,0.829%
,"CHARLESTON, SC",30182,0.099%,0.977%
,"VIRGINIA BEACH CITY, VA",21293,-,0.723%
,"SUMMIT, OH",18920,-,0.682%
,"BERKS, PA",31032,0.084%,0.59%
,"PRINCE WILLIAM, VA",29463,0.156%,0.984%
,"WASHINGTON, OR",24316,0.127%,0.563%
,"RICHLAND, SC",25885,0.166%,0.974%
