Session Title,Percentage with Immunizations: MMR receipt by Age in Years (Current) Range and State of Residence (U.S.),
Session Description,extend visit back,
Session ID,2728294,
Data Model,Patients,
Population Base,All Patients,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Age in Years (Current): ? 10 years,Chief Complaint: wellness or well child visit
Session Date Range,All Time,
Measure,Immunizations (%) ,
Export User,Daniel Weinberger,
Date of Export,4/17/2025,
,,
,,
,,Percentage with Immunizations: MMR receipt (%)
State of Residence (U.S.),Age in Years (Current),
Maine,Less than 1 years,0.646%
,? 1 and < 2 years,75.5%
,? 2 and < 3 years,87.4%
,? 3 and < 4 years,90.2%
,? 4 and < 5 years,91.4%
,? 5 and < 6 years,93.2%
,6 years or more,94.3%
,"Total: Total includes all data under the Maine bucket, including data from rows not currently displayed.",85.3%
Massachusetts,Less than 1 years,0.486%
,? 1 and < 2 years,77.2%
,? 2 and < 3 years,90.4%
,? 3 and < 4 years,92.6%
,? 4 and < 5 years,94.2%
,? 5 and < 6 years,93.9%
,6 years or more,94.4%
,"Total: Total includes all data under the Massachusetts bucket, including data from rows not currently displayed.",84.7%
Delaware,Less than 1 years,0.316%
,? 1 and < 2 years,75.1%
,? 2 and < 3 years,89.7%
,? 3 and < 4 years,91.2%
,? 4 and < 5 years,93%
,? 5 and < 6 years,93.8%
,6 years or more,95.2%
,"Total: Total includes all data under the Delaware bucket, including data from rows not currently displayed.",84.6%
Iowa,Less than 1 years,0.459%
,? 1 and < 2 years,69.6%
,? 2 and < 3 years,89.6%
,? 3 and < 4 years,91.4%
,? 4 and < 5 years,92.4%
,? 5 and < 6 years,93.7%
,6 years or more,94.7%
,"Total: Total includes all data under the Iowa bucket, including data from rows not currently displayed.",84.5%
Connecticut,Less than 1 years,0.629%
,? 1 and < 2 years,78%
,? 2 and < 3 years,87.7%
,? 3 and < 4 years,90.1%
,? 4 and < 5 years,91.6%
,? 5 and < 6 years,92%
,6 years or more,91.7%
,"Total: Total includes all data under the Connecticut bucket, including data from rows not currently displayed.",84.4%
West Virginia,Less than 1 years,0.273%
,? 1 and < 2 years,73.9%
,? 2 and < 3 years,89.1%
,? 3 and < 4 years,91.9%
,? 4 and < 5 years,93.6%
,? 5 and < 6 years,94.6%
,6 years or more,94.8%
