Session Title,Number of Patients and Percentage with Immunizations: MMR receipt v2 by Age in Years (Current) Range and State of Residence (U.S.),,
Session Description,This is an attempt at table using Epic's denominator definition suggested by caleb,,
Session ID,2732640,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"(Billed Procedures: INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS 99383, INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS 99382, INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR 99381, PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS 99393, PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS 99392, PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y 99391 OR Encounter Type: Well Child OR Diagnosis (All): Encounter for newborn, infant and child health examinations( ICD-10-CM: Z00.1 ))",,
Session Date Range,4/11/2022 - 4/10/2025,,
Export User,Daniel Weinberger,,
Date of Export,5/7/2025,,
,,,
,,,
,Measures,Number of Patients,Percentage with Immunizations: MMR receipt v2 (%)
Age in Years (Current),State of Residence (U.S.),,
Less than 1 years,Texas,96098,1.1%
,Ohio,55032,1.3%
,California,51818,1.1%
,Illinois,34487,0.409%
,North Carolina,26321,0.714%
,Florida,34659,0.404%
,Michigan,30535,0.737%
,Pennsylvania,25765,0.505%
,Wisconsin,25413,0.535%
,Indiana,21249,0.438%
,New York,22498,0.845%
,Minnesota,18238,0.422%
,Massachusetts,15985,0.638%
,South Carolina,16190,0.167%
,Colorado,14422,2.3%
,Iowa,14047,0.605%
,Kentucky,15989,0.444%
,Louisiana,13250,0.415%
,Virginia,13184,0.501%
,Georgia,14025,0.285%
,Connecticut,6741,0.742%
,Mississippi,10245,0.185%
,Idaho,7780,0.668%
,North Dakota,6749,0.37%
,New Jersey,8901,0.36%
,Oklahoma,9088,1.1%
,Washington,5950,0.538%
,Oregon,5336,0.487%
,West Virginia,6266,0.399%
,Arkansas,5249,0.229%
,Kansas,4032,0.57%
,South Dakota,3993,-
,Delaware,4217,0.427%
,Maryland,3887,0.695%
,Maine,3345,0.807%
,Missouri,5328,-
,New Hampshire,3126,1.2%
,Tennessee,4613,-
,Nevada,3577,0.308%
,Utah,3296,1.6%
,Arizona,1444,-
,Hawaii,2207,-
,Nebraska,2295,-
,Alabama,1878,-
,Montana,1920,0.99%
,Wyoming,1379,-
,Rhode Island,1328,-
,Vermont,1072,1.7%
,New Mexico,290,-
,Puerto Rico,332,-
,Alaska,89,-
,District of Columbia,19,-
,Armed Forces Pacific,10 or fewer,-
,None of the above,4139,0.435%
,Total,689318,0.737%
? 1 and < 2 years,Texas,107698,69%
,Ohio,59789,71.7%
,California,58403,68.6%
,Illinois,38321,67.1%
,North Carolina,29201,73.2%
,Florida,37165,64.7%
,Michigan,32631,71.4%
,Pennsylvania,29659,73%
,Wisconsin,28223,74.5%
,Indiana,24564,71.4%
,New York,24615,69.7%
,Minnesota,20246,67.7%
,Massachusetts,17454,77.4%
,South Carolina,18432,61.9%
,Colorado,18571,73.2%
,Iowa,15765,70.3%
,Kentucky,17474,76.6%
,Louisiana,15174,71.2%
,Virginia,15557,68%
,Georgia,14810,69.5%
,Connecticut,7447,82.5%
,Mississippi,11753,68.8%
,Idaho,8483,67.3%
,North Dakota,7358,70.4%
,New Jersey,9106,61.6%
,Oklahoma,9742,63%
,Washington,6789,62.3%
,Oregon,5878,62.6%
,West Virginia,6662,73.2%
,Arkansas,6453,64.9%
,Kansas,4475,65.8%
,South Dakota,4391,67.2%
,Delaware,4559,74.6%
,Maryland,4339,67.8%
,Maine,4049,73.9%
,Missouri,5712,63.8%
,New Hampshire,3501,77%
,Tennessee,4785,56.7%
,Nevada,4070,62.8%
,Utah,3594,68.2%
,Arizona,1908,57.7%
,Hawaii,2646,57.7%
,Nebraska,2417,67%
,Alabama,2193,66.3%
,Montana,2196,56.2%
,Wyoming,1505,61.9%
,Rhode Island,1445,82%
,Vermont,1160,82.1%
,New Mexico,323,55.4%
,Puerto Rico,394,66.8%
,Alaska,114,51.8%
,District of Columbia,22,-
,Armed Forces Pacific,10 or fewer,-
,None of the above,1290,61.3%
,Total,764513,69.6%
