"","date","state","overdose_search_12m","naloxone_search_12m"
"1",2004-01-03,"Alabama",0,NA
"2",2004-01-10,"Alabama",0,NA
"3",2004-01-17,"Alabama",0,NA
"4",2004-01-24,"Alabama",0,NA
"5",2004-01-31,"Alabama",0,NA
"6",2004-02-07,"Alabama",0,NA
"7",2004-02-14,"Alabama",0,NA
"8",2004-02-21,"Alabama",0,NA
"9",2004-02-28,"Alabama",0,NA
"10",2004-03-06,"Alabama",0,NA
"11",2004-03-13,"Alabama",0,NA
"12",2004-03-20,"Alabama",0,NA
"13",2004-03-27,"Alabama",0,NA
"14",2004-04-03,"Alabama",0,NA
"15",2004-04-10,"Alabama",0,NA
"16",2004-04-17,"Alabama",0,NA
"17",2004-04-24,"Alabama",0,NA
"18",2004-05-01,"Alabama",0,NA
"19",2004-05-08,"Alabama",0,NA
"20",2004-05-15,"Alabama",0,NA
"21",2004-05-22,"Alabama",0,NA
"22",2004-05-29,"Alabama",0,NA
"23",2004-06-05,"Alabama",0,NA
"24",2004-06-12,"Alabama",0,NA
"25",2004-06-19,"Alabama",0,NA
"26",2004-06-26,"Alabama",0,NA
"27",2004-07-03,"Alabama",0,NA
"28",2004-07-10,"Alabama",0,NA
"29",2004-07-17,"Alabama",0,NA
"30",2004-07-24,"Alabama",0,NA
"31",2004-07-31,"Alabama",0,NA
"32",2004-08-07,"Alabama",0,NA
"33",2004-08-14,"Alabama",0,NA
"34",2004-08-21,"Alabama",0,NA
"35",2004-08-28,"Alabama",0,NA
"36",2004-09-04,"Alabama",0,NA
"37",2004-09-11,"Alabama",0,NA
"38",2004-09-18,"Alabama",0,NA
"39",2004-09-25,"Alabama",0,NA
"40",2004-10-02,"Alabama",0,NA
"41",2004-10-09,"Alabama",0,NA
"42",2004-10-16,"Alabama",0,NA
"43",2004-10-23,"Alabama",0,NA
"44",2004-10-30,"Alabama",0,NA
"45",2004-11-06,"Alabama",0,NA
"46",2004-11-13,"Alabama",0,NA
"47",2004-11-20,"Alabama",0,NA
"48",2004-11-27,"Alabama",0,NA
"49",2004-12-04,"Alabama",0,NA
"50",2004-12-11,"Alabama",0,NA
"51",2004-12-18,"Alabama",0,NA
"52",2004-12-25,"Alabama",0,NA
"53",2005-01-01,"Alabama",0,NA
"54",2005-01-08,"Alabama",0,NA
"55",2005-01-15,"Alabama",0,NA
"56",2005-01-22,"Alabama",0,NA
"57",2005-01-29,"Alabama",0,NA
"58",2005-02-05,"Alabama",0,NA
"59",2005-02-12,"Alabama",0,NA
"60",2005-02-19,"Alabama",0,NA
"61",2005-02-26,"Alabama",0,NA
"62",2005-03-05,"Alabama",0,NA
"63",2005-03-12,"Alabama",0,NA
"64",2005-03-19,"Alabama",0,NA
"65",2005-03-26,"Alabama",0,NA
"66",2005-04-02,"Alabama",0,NA
"67",2005-04-09,"Alabama",0,NA
