"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Mar-28-2025)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,YEAR,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Entire Network,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0.1,0.1,null,null
Entire Network,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0.1,0.1,null,null
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Male,Overall,Overall,0.1,0.1,null,null
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Female,Overall,Overall,0.1,0.1,null,null
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,White,Overall,0.1,0.1,0.06,0.06
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,Black,Overall,0.2,0.2,0.21,0.21
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,0.05,0.05
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0.1,0.1,0.09,0.09
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,0,0
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,Overall,Overall,0.1,0.1,0.08,0.08
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0.1,0.1,0.08,0.08
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,0.08,0.08
Entire Network,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0,0,null,null
Entire Network,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0.2,0.2,null,null
Entire Network,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Entire Network,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0.1,0.1,null,null
