"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt"
"2010-2011","Apache","Kindergarten","955","96.8","97.5","96.6","98.1","5.3","1.4","0.1"
"2010-2011","Cochise","Kindergarten","1,559","97","97","96.9","98.5","15.4","1.9","0.2"
"2010-2011","Coconino","Kindergarten","1,305","93.4","93.3","93","94.6","11.2","5.1","0.3"
"2010-2011","Gila","Kindergarten","654","97.9","98.2","94.3","98.5","9.8","1.4","0.2"
"2010-2011","Graham","Kindergarten","574","94.8","95.5","94.4","96.5","11.7","2.1","0.2"
"2010-2011","Greenlee","Kindergarten","35","91.4","94.3","94.3","94.3","40","6","0"
"2010-2011","La Paz","Kindergarten","215","95.8","95.8","95.8","97.7","2.3","1.4","0"
"2010-2011","Maricopa","Kindergarten","53,120","95.2","95.6","95.3","96.5","15.6","3.4","0.2"
"2010-2011","Mohave","Kindergarten","1,809","92.5","93.1","92.8","94.5","17.2","4.8","0.2"
"2010-2011","Navajo","Kindergarten","1,584","94.3","94.4","94.1","96.9","17.8","3.5","0.1"
"2010-2011","Pima","Kindergarten","11,913","96","96.2","96.6","97.8","16.6","2.5","0.1"
"2010-2011","Pinal","Kindergarten","4,272","93.9","94.2","93.6","95.7","21.2","3.6","0.2"
"2010-2011","Santa Cruz","Kindergarten","762","97.2","97.5","97.1","98.4","24","1.6","0.4"
"2010-2011","Yavapai","Kindergarten","1,828","90.6","91.1","90","93.9","29","8.5","0.3"
"2010-2011","Yuma","Kindergarten","2,763","98.3","98.3","97.8","99","14.5","0.6","0"
"2010-2011","Total","Kindergarten","83,348","95.6","95.6","95.3","96.6","16.1","3.2","0.3"
