"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt","% Exempt from Every Req'd Vaccine"
"2019-2020","Apache","Kindergarten","613","92.3","92.8","92.3","93.3","94.8","4.9","0","4.1"
"2019-2020","Cochise","Kindergarten","1,350","95","95.1","95.2","96.4","95.9","2.6","0.2","1.6"
"2019-2020","Coconino","Kindergarten","982","92.5","93","92.5","93.9","95.1","6.4","0.2","4.9"
"2019-2020","Gila","Kindergarten","604","91.9","93.9","93","95.4","96","4.1","0","3"
"2019-2020","Graham","Kindergarten","580","94.7","95.5","94.7","96.7","97.4","4.1","0.9","2.6"
"2019-2020","Greenlee","Kindergarten","174","96","97.7","97.7","98.3","98.9","1.1","0","1.1"
"2019-2020","La Paz","Kindergarten","154","96.1","97.4","95.5","95.5","97.4","2.6","0","2.6"
"2019-2020","Maricopa","Kindergarten","54,405","93","93.5","93.2","94.5","95.9","5.9","0.2","3.7"
"2019-2020","Mohave","Kindergarten","1,816","90.3","91","90.3","92.6","93.4","8.3","0.3","5.6"
"2019-2020","Navajo","Kindergarten","935","93.8","94.3","93.7","94.9","94.5","5.8","0.1","4.5"
"2019-2020","Pima","Kindergarten","11,301","95","95.6","95.6","96.4","96.7","3.1","1.1","2.1"
"2019-2020","Pinal","Kindergarten","4,241","92.2","92.9","93.2","95.1","96","4.8","0.3","3"
"2019-2020","Santa Cruz","Kindergarten","750","97.3","97.2","97.1","98.1","98.7","1.5","0.3","1.3"
"2019-2020","Yavapai","Kindergarten","1,737","84.1","85.1","83.4","87.6","90","12.3","0.5","7.8"
"2019-2020","Yuma","Kindergarten","2,716","96.9","97.7","97.7","98.1","98.6","1.3","0","0.7"
"2019-2020","Total","Kindergarten","82,358","93.2","93.8","93.5","94.8","95.9","5.4","0.3","3.4"
