Intent,Sex,Year,Age Group,Estimated Number,Population,Crude Rate,Age-Adjusted Rate,Cases (Sample),Standard Error,CV,Lower 95% CI,Upper 95% CI
,Males,2022,0 to 4,--,"9,475,095",--,--,--,--,--,--,--
,Males,2020,0 to 4,--,"9,749,120",--,--,--,--,--,--,--
,Males,2017,0 to 4,--,"10,173,124",--,--,--,--,--,--,--
,Males,2009,0 to 4,--,"10,342,089",--,--,--,--,--,--,--
,Males,2008,0 to 4,--,"10,356,944",--,--,--,--,--,--,--
,Males,2007,0 to 4,--,"10,285,693",--,--,--,--,--,--,--
,Males,2006,0 to 4,--,"10,187,872",--,--,--,--,--,--,--
,Males,2002,0 to 4,--,"9,931,542",--,--,--,--,--,--,--
,Females,2022,0 to 4,--,"9,063,258",--,--,--,--,--,--,--
,Females,2021,0 to 4,--,"9,128,136",--,--,--,--,--,--,--
,Females,2020,0 to 4,--,"9,320,910",--,--,--,--,--,--,--
,Females,2019,0 to 4,--,"9,570,073",--,--,--,--,--,--,--
,Females,2018,0 to 4,--,"9,665,926",--,--,--,--,--,--,--
,Females,2015,0 to 4,--,"9,734,572",--,--,--,--,--,--,--
,Females,2013,0 to 4,--,"9,710,523",--,--,--,--,--,--,--
,Females,2007,0 to 4,--,"9,840,269",--,--,--,--,--,--,--
,Females,2006,0 to 4,--,"9,751,011",--,--,--,--,--,--,--
,Females,2005,0 to 4,--,"9,741,805",--,--,--,--,--,--,--
,Females,2002,0 to 4,--,"9,497,650",--,--,--,--,--,--,--
Self-Harm,Males,2022,5 to 9,--,"10,231,946",--,--,--,--,--,--,--
Self-Harm,Males,2022,10 to 14,"14,311","10,701,853",133.72,--,520,"2,664",18.60%,"9,090","19,532"
Self-Harm,Males,2022,15 to 19,"35,029","11,082,043",316.09,--,974,"5,757",16.40%,"23,746","46,312"
Self-Harm,Males,2021,0 to 4,--,"9,548,093",--,--,--,--,--,--,--
Self-Harm,Males,2021,5 to 9,--,"10,255,997",--,--,--,--,--,--,--
Self-Harm,Males,2021,10 to 14,"10,621","10,861,498",97.78,--,329,"1,982",18.70%,"6,735","14,506"
Self-Harm,Males,2021,15 to 19,"29,225","11,033,181",264.89,--,661,"4,346",14.90%,"20,707","37,744"
Self-Harm,Males,2020,5 to 9,--,"10,282,249",--,--,--,--,--,--,--
Self-Harm,Males,2020,10 to 14,"7,701","10,976,324",70.16,--,276,"1,646",21.40%,"4,475","10,927"
Self-Harm,Males,2020,15 to 19,"29,627","11,208,282",264.33,--,656,"4,500",15.20%,"20,807","38,447"
Self-Harm,Males,2019,0 to 4,--,"10,001,266",--,--,--,--,--,--,--
Self-Harm,Males,2019,5 to 9,--,"10,335,306",--,--,--,--,--,--,--
Self-Harm,Males,2019,10 to 14,"8,744","10,629,162",82.26,--,323,"1,389",15.90%,"6,021","11,467"
Self-Harm,Males,2019,15 to 19,"28,136","10,752,848",261.66,--,614,"3,569",12.70%,"21,140","35,132"
Self-Harm,Males,2018,0 to 4,--,"10,112,601",--,--,--,--,--,--,--
Self-Harm,Males,2018,5 to 9,--,"10,324,741",--,--,--,--,--,--,--
