STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,GOOGLE_DMA
AK ,Anchorage Borough           ,2,20,95010,156,ANCHORAGE (AK)                                                       ,Anchorage AK
AK ,Kenai Peninsula Borough     ,2,122,17600,156,ANCHORAGE (AK)                                                       ,Anchorage AK
AK ,Matanuska-Susitna Borough   ,2,170,20130,156,ANCHORAGE (AK)                                                       ,Anchorage AK
AK ,Fairbanks North Star Borough,2,90,31860,203,FAIRBANKS (AK)                                                       ,Fairbanks AK
AK ,Juneau Borough              ,2,110,25270,206,JUNEAU (AK)                                                          ,Juneau AK
AK ,Juneau Borough              ,2,290,1,1,FAIRBANKS (AK)                                                       ,Fairbanks AK
AL ,Cleburne                    ,1,29,5610,9,ATLANTA (GA)                                                         ,Atlanta GA
AL ,Randolph                    ,1,111,8810,9,ATLANTA (GA)                                                         ,Atlanta GA
AL ,Bibb                        ,1,7,7820,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Blount                      ,1,9,20000,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Calhoun                     ,1,15,43960,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Cherokee                    ,1,19,10010,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Chilton                     ,1,21,15880,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Clay                        ,1,27,5780,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Cullman                     ,1,43,31150,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Etowah                      ,1,55,41270,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Fayette                     ,1,57,7450,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Greene                      ,1,63,3680,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Hale                        ,1,65,6250,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Jefferson                   ,1,73,258560,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Marion                      ,1,93,12490,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Pickens                     ,1,107,7930,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,St. Clair                   ,1,115,25220,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Shelby                      ,1,117,58280,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Talladega                   ,1,121,30630,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Tuscaloosa                  ,1,125,64890,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Walker                      ,1,127,28400,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Winston                     ,1,133,10380,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Barbour                     ,1,5,10570,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Chambers                    ,1,17,14170,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Lee                         ,1,81,47310,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Russell                     ,1,113,19590,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Lamar                       ,1,75,6360,131,COLUMBUS (MS) - TUPELO (MS) - WEST POINT (MS)                        ,Columbus-Tupelo-West Point MS
AL ,Coffee                      ,1,31,17300,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Dale                        ,1,45,18550,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Geneva                      ,1,61,10550,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Henry                       ,1,67,6510,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Houston                     ,1,69,36350,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Colbert                     ,1,33,22230,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Dekalb                      ,1,49,25820,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Franklin                    ,1,59,12240,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Jackson                     ,1,71,22130,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Lauderdale                  ,1,77,36580,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Lawrence                    ,1,79,13640,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Limestone                   ,1,83,25370,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
