week_end,geography,pathogen,demographics_type,demographics_values,percent_visits
7/15/2023,United States,COVID-19,Sex,Male,0.6
7/15/2023,United States,COVID-19,Sex,Invalid,0.1
7/15/2023,United States,COVID-19,Sex,Other,0
7/15/2023,United States,COVID-19,Sex,Female,0.7
7/15/2023,United States,COVID-19,Age Group,18-64 years,0.6
7/15/2023,United States,COVID-19,Age Group,65+ years,1
7/15/2023,United States,COVID-19,Age Group,5-17 years,0.3
7/15/2023,United States,COVID-19,Age Group,0-4 years,1.1
7/15/2023,United States,COVID-19,Race/Ethnicity,Hispanic,0.9
7/15/2023,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.6
7/15/2023,United States,COVID-19,Race/Ethnicity,"White, NH",0.6
7/15/2023,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.2
7/15/2023,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.7
7/15/2023,United States,COVID-19,Race/Ethnicity,"Black, NH",0.7
7/15/2023,United States,Combined,Sex,Male,0.8
7/15/2023,United States,Combined,Sex,Invalid,0.1
7/15/2023,United States,Combined,Sex,Other,0
7/15/2023,United States,Combined,Sex,Female,0.9
7/15/2023,United States,Combined,Age Group,18-64 years,0.7
7/15/2023,United States,Combined,Age Group,65+ years,1.1
7/15/2023,United States,Combined,Age Group,5-17 years,0.6
7/15/2023,United States,Combined,Age Group,0-4 years,1.9
7/15/2023,United States,Combined,Race/Ethnicity,Hispanic,1.2
7/15/2023,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",0.8
7/15/2023,United States,Combined,Race/Ethnicity,"White, NH",0.7
7/15/2023,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",1.5
7/15/2023,United States,Combined,Race/Ethnicity,"AI/AN, NH",0.9
7/15/2023,United States,Combined,Race/Ethnicity,"Black, NH",0.9
7/15/2023,United States,Influenza,Sex,Male,0.2
7/15/2023,United States,Influenza,Sex,Invalid,0
7/15/2023,United States,Influenza,Sex,Other,0
7/15/2023,United States,Influenza,Sex,Female,0.2
7/15/2023,United States,Influenza,Age Group,18-64 years,0.1
7/15/2023,United States,Influenza,Age Group,65+ years,0.1
7/15/2023,United States,Influenza,Age Group,5-17 years,0.3
7/15/2023,United States,Influenza,Age Group,0-4 years,0.5
7/15/2023,United States,Influenza,Race/Ethnicity,Hispanic,0.3
7/15/2023,United States,Influenza,Race/Ethnicity,"Multiple/Other, NH",0.2
7/15/2023,United States,Influenza,Race/Ethnicity,"White, NH",0.1
7/15/2023,United States,Influenza,Race/Ethnicity,"Asian/NHOPI, NH",0.3
7/15/2023,United States,Influenza,Race/Ethnicity,"AI/AN, NH",0.2
7/15/2023,United States,Influenza,Race/Ethnicity,"Black, NH",0.2
7/15/2023,United States,RSV,Sex,Male,0
7/15/2023,United States,RSV,Sex,Invalid,0
7/15/2023,United States,RSV,Sex,Other,0
7/15/2023,United States,RSV,Sex,Female,0
7/15/2023,United States,RSV,Age Group,18-64 years,0
7/15/2023,United States,RSV,Age Group,65+ years,0
7/15/2023,United States,RSV,Age Group,5-17 years,0
7/15/2023,United States,RSV,Age Group,0-4 years,0.3
7/15/2023,United States,RSV,Race/Ethnicity,Hispanic,0
7/15/2023,United States,RSV,Race/Ethnicity,"Multiple/Other, NH",0
7/15/2023,United States,RSV,Race/Ethnicity,"White, NH",0
7/15/2023,United States,RSV,Race/Ethnicity,"Asian/NHOPI, NH",0
7/15/2023,United States,RSV,Race/Ethnicity,"AI/AN, NH",0
7/15/2023,United States,RSV,Race/Ethnicity,"Black, NH",0
2/25/2023,United States,COVID-19,Sex,Male,1.7
2/25/2023,United States,COVID-19,Sex,Invalid,0.1
2/25/2023,United States,COVID-19,Sex,Other,4.2
2/25/2023,United States,COVID-19,Sex,Female,1.8
2/25/2023,United States,COVID-19,Age Group,18-64 years,1.4
2/25/2023,United States,COVID-19,Age Group,65+ years,2.9
2/25/2023,United States,COVID-19,Age Group,5-17 years,0.7
2/25/2023,United States,COVID-19,Age Group,0-4 years,2
2/25/2023,United States,COVID-19,Race/Ethnicity,Hispanic,1.5
2/25/2023,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.4
2/25/2023,United States,COVID-19,Race/Ethnicity,"White, NH",1.9
2/25/2023,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.9
2/25/2023,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.1
2/25/2023,United States,COVID-19,Race/Ethnicity,"Black, NH",1.5
2/25/2023,United States,Combined,Sex,Male,2.1
2/25/2023,United States,Combined,Sex,Invalid,0.2
2/25/2023,United States,Combined,Sex,Other,4.2
2/25/2023,United States,Combined,Sex,Female,2.2
2/25/2023,United States,Combined,Age Group,18-64 years,1.7
2/25/2023,United States,Combined,Age Group,65+ years,3.1
2/25/2023,United States,Combined,Age Group,5-17 years,1.5
2/25/2023,United States,Combined,Age Group,0-4 years,3.4
2/25/2023,United States,Combined,Race/Ethnicity,Hispanic,2.1
2/25/2023,United States,Combined,Race/Ethnicity,"Multiple/Other, NH",1.8
2/25/2023,United States,Combined,Race/Ethnicity,"White, NH",2.3
2/25/2023,United States,Combined,Race/Ethnicity,"Asian/NHOPI, NH",2.5
2/25/2023,United States,Combined,Race/Ethnicity,"AI/AN, NH",2.8
2/25/2023,United States,Combined,Race/Ethnicity,"Black, NH",2
2/25/2023,United States,Influenza,Sex,Male,0.3
2/25/2023,United States,Influenza,Sex,Invalid,0
2/25/2023,United States,Influenza,Sex,Other,0
2/25/2023,United States,Influenza,Sex,Female,0.3
2/25/2023,United States,Influenza,Age Group,18-64 years,0.3
2/25/2023,United States,Influenza,Age Group,65+ years,0.2
2/25/2023,United States,Influenza,Age Group,5-17 years,0.7
2/25/2023,United States,Influenza,Age Group,0-4 years,0.7
2/25/2023,United States,Influenza,Race/Ethnicity,Hispanic,0.5
