"Notes"	"States"	"States Code"	"Single-Year Ages"	"Single-Year Ages Code"	Population
	"Alabama"	"01"	"< 1 year"	"0"	57885
	"Alabama"	"01"	"1 year"	"1"	58419
	"Alabama"	"01"	"2 years"	"2"	58006
	"Alabama"	"01"	"3 years"	"3"	59016
	"Alabama"	"01"	"4 years"	"4"	59779
	"Alabama"	"01"	"5 years"	"5"	61507
	"Alabama"	"01"	"6 years"	"6"	61999
	"Alabama"	"01"	"7 years"	"7"	62999
	"Alabama"	"01"	"8 years"	"8"	63416
	"Alabama"	"01"	"9 years"	"9"	62673
	"Alabama"	"01"	"10 years"	"10"	62154
	"Alabama"	"01"	"11 years"	"11"	62540
	"Alabama"	"01"	"12 years"	"12"	63387
	"Alabama"	"01"	"13 years"	"13"	64905
	"Alabama"	"01"	"14 years"	"14"	66848
	"Alabama"	"01"	"15 years"	"15"	69479
	"Alabama"	"01"	"16 years"	"16"	68941
	"Alabama"	"01"	"17 years"	"17"	66887
	"Alabama"	"01"	"18 years"	"18"	67793
	"Alabama"	"01"	"19 years"	"19"	71779
	"Alabama"	"01"	"20 years"	"20"	68567
	"Alabama"	"01"	"21 years"	"21"	68152
	"Alabama"	"01"	"22 years"	"22"	69247
	"Alabama"	"01"	"23 years"	"23"	68558
	"Alabama"	"01"	"24 years"	"24"	66199
	"Alabama"	"01"	"25 years"	"25"	64933
	"Alabama"	"01"	"26 years"	"26"	63403
	"Alabama"	"01"	"27 years"	"27"	62633
	"Alabama"	"01"	"28 years"	"28"	63533
	"Alabama"	"01"	"29 years"	"29"	65238
	"Alabama"	"01"	"30 years"	"30"	66208
	"Alabama"	"01"	"31 years"	"31"	68027
	"Alabama"	"01"	"32 years"	"32"	69865
	"Alabama"	"01"	"33 years"	"33"	69943
	"Alabama"	"01"	"34 years"	"34"	67012
	"Alabama"	"01"	"35 years"	"35"	64362
	"Alabama"	"01"	"36 years"	"36"	63238
	"Alabama"	"01"	"37 years"	"37"	62988
	"Alabama"	"01"	"38 years"	"38"	63208
	"Alabama"	"01"	"39 years"	"39"	61800
	"Alabama"	"01"	"40 years"	"40"	62851
	"Alabama"	"01"	"41 years"	"41"	63756
	"Alabama"	"01"	"42 years"	"42"	63508
	"Alabama"	"01"	"43 years"	"43"	64058
	"Alabama"	"01"	"44 years"	"44"	61428
	"Alabama"	"01"	"45 years"	"45"	60548
	"Alabama"	"01"	"46 years"	"46"	60209
	"Alabama"	"01"	"47 years"	"47"	58168
	"Alabama"	"01"	"48 years"	"48"	59160
	"Alabama"	"01"	"49 years"	"49"	59241
	"Alabama"	"01"	"50 years"	"50"	60692
	"Alabama"	"01"	"51 years"	"51"	64276
	"Alabama"	"01"	"52 years"	"52"	68132
	"Alabama"	"01"	"53 years"	"53"	65820
	"Alabama"	"01"	"54 years"	"54"	62717
	"Alabama"	"01"	"55 years"	"55"	61348
	"Alabama"	"01"	"56 years"	"56"	61567
	"Alabama"	"01"	"57 years"	"57"	63053
	"Alabama"	"01"	"58 years"	"58"	66021
	"Alabama"	"01"	"59 years"	"59"	67688
	"Alabama"	"01"	"60 years"	"60"	67368
	"Alabama"	"01"	"61 years"	"61"	68042
	"Alabama"	"01"	"62 years"	"62"	67832
	"Alabama"	"01"	"63 years"	"63"	66322
	"Alabama"	"01"	"64 years"	"64"	64825
	"Alabama"	"01"	"65 years"	"65"	64174
	"Alabama"	"01"	"66 years"	"66"	63606
	"Alabama"	"01"	"67 years"	"67"	61003
	"Alabama"	"01"	"68 years"	"68"	59017
	"Alabama"	"01"	"69 years"	"69"	56690
	"Alabama"	"01"	"70 years"	"70"	54066
	"Alabama"	"01"	"71 years"	"71"	51517
	"Alabama"	"01"	"72 years"	"72"	48971
	"Alabama"	"01"	"73 years"	"73"	46398
	"Alabama"	"01"	"74 years"	"74"	45481
	"Alabama"	"01"	"75 years"	"75"	44035
	"Alabama"	"01"	"76 years"	"76"	46168
