"","state_code","state_fips","county_fips","county_name","fips"
"1","AL",1,1,"Autauga","01001"
"2","AL",1,3,"Baldwin","01003"
"3","AL",1,5,"Barbour","01005"
"4","AL",1,7,"Bibb","01007"
"5","AL",1,9,"Blount","01009"
"6","AL",1,11,"Bullock","01011"
"7","AL",1,13,"Butler","01013"
"8","AL",1,15,"Calhoun","01015"
"9","AL",1,17,"Chambers","01017"
"10","AL",1,19,"Cherokee","01019"
"11","AL",1,21,"Chilton","01021"
"12","AL",1,23,"Choctaw","01023"
"13","AL",1,25,"Clarke","01025"
"14","AL",1,27,"Clay","01027"
"15","AL",1,29,"Cleburne","01029"
"16","AL",1,31,"Coffee","01031"
"17","AL",1,33,"Colbert","01033"
"18","AL",1,35,"Conecuh","01035"
"19","AL",1,37,"Coosa","01037"
"20","AL",1,39,"Covington","01039"
"21","AL",1,41,"Crenshaw","01041"
"22","AL",1,43,"Cullman","01043"
"23","AL",1,45,"Dale","01045"
"24","AL",1,47,"Dallas","01047"
"25","AL",1,49,"DeKalb","01049"
"26","AL",1,51,"Elmore","01051"
"27","AL",1,53,"Escambia","01053"
"28","AL",1,55,"Etowah","01055"
"29","AL",1,57,"Fayette","01057"
"30","AL",1,59,"Franklin","01059"
"31","AL",1,61,"Geneva","01061"
"32","AL",1,63,"Greene","01063"
"33","AL",1,65,"Hale","01065"
"34","AL",1,67,"Henry","01067"
"35","AL",1,69,"Houston","01069"
"36","AL",1,71,"Jackson","01071"
"37","AL",1,73,"Jefferson","01073"
"38","AL",1,75,"Lamar","01075"
"39","AL",1,77,"Lauderdale","01077"
"40","AL",1,79,"Lawrence","01079"
"41","AL",1,81,"Lee","01081"
"42","AL",1,83,"Limestone","01083"
"43","AL",1,85,"Lowndes","01085"
"44","AL",1,87,"Macon","01087"
"45","AL",1,89,"Madison","01089"
"46","AL",1,91,"Marengo","01091"
"47","AL",1,93,"Marion","01093"
"48","AL",1,95,"Marshall","01095"
"49","AL",1,97,"Mobile","01097"
"50","AL",1,99,"Monroe","01099"
"51","AL",1,101,"Montgomery","01101"
"52","AL",1,103,"Morgan","01103"
"53","AL",1,105,"Perry","01105"
"54","AL",1,107,"Pickens","01107"
"55","AL",1,109,"Pike","01109"
"56","AL",1,111,"Randolph","01111"
"57","AL",1,113,"Russell","01113"
"58","AL",1,115,"St. Clair","01115"
"59","AL",1,117,"Shelby","01117"
"60","AL",1,119,"Sumter","01119"
"61","AL",1,121,"Talladega","01121"
"62","AL",1,123,"Tallapoosa","01123"
"63","AL",1,125,"Tuscaloosa","01125"
"64","AL",1,127,"Walker","01127"
"65","AL",1,129,"Washington","01129"
"66","AL",1,131,"Wilcox","01131"
"67","AL",1,133,"Winston","01133"
"68","AK",2,13,"Aleutians East Borough","02013"
"69","AK",2,16,"Aleutians West Census Area","02016"
"70","AK",2,20,"Anchorage Municipality","02020"
"71","AK",2,50,"Bethel Census Area","02050"
"72","AK",2,60,"Bristol Bay Borough","02060"
"73","AK",2,68,"Denali Borough","02068"
"74","AK",2,70,"Dillingham Census Area","02070"
"75","AK",2,90,"Fairbanks North Star Borough","02090"
"76","AK",2,100,"Haines Borough","02100"
