Session Title,HA1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,,
Session Description,"C01 HbA1c, BMI, and Number, by state, age",,,
Session ID,2731038,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): Alaska, Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Indiana, Illinois, Iowa, Kansas",Base Patient,,
Session Date Range,4/11/2023 - 4/10/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/1/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Hemoglobin A1C 7.0% or more (%),Percentage with BMI 30.0  or more and 49.8  or less (%)
Age in Years (Current),County of Residence,,,
Less than 10 years,"COOK, IL",216053,0.086%,1.2%
,"SAN DIEGO, CA",82072,-,0.479%
,"MARICOPA, AZ",56416,0.032%,0.757%
,"ORANGE, FL",115314,0.096%,0.956%
,"BROWARD, FL",73062,0.148%,1.2%
,"RIVERSIDE, CA",76776,0.132%,1.3%
,"MIAMI-DADE, FL",65082,0.124%,0.71%
,"HARTFORD, CT",72533,0.156%,1.9%
,"JEFFERSON, KY",10 or fewer,-,-
,"LOS ANGELES, CA",67193,0.022%,1.4%
,"NEW HAVEN, CT",61037,0.154%,1%
,"SANTA CLARA, CA",61855,0.108%,0.781%
,"HILLSBOROUGH, FL",53086,0.053%,1.3%
,"ALAMEDA, CA",62320,0.05%,0.849%
,"ORANGE, CA",47380,-,0.58%
,"DUVAL, FL",75362,0.141%,1.5%
,"LEE, FL",59402,0.098%,1.5%
,"CONTRA COSTA, CA",50866,0.045%,0.857%
,"FRESNO, CA",53127,0.038%,1.3%
,"MARION, IN",70806,0.016%,1.2%
,"COBB, GA",63730,0.099%,0.783%
,"FAIRFIELD, CT",50622,0.158%,0.879%
,"EL PASO, CO",64042,0.176%,0.476%
,"DENVER, CO",59873,0.052%,0.685%
,"SAN BERNARDINO, CA",61700,0.209%,0.934%
,"FULTON, GA",70807,0.072%,0.727%
,"ADA, ID",45762,0.144%,0.767%
,"POLK, FL",44347,0.135%,1.3%
,"HONOLULU, HI",46447,0.108%,0.538%
,"ARAPAHOE, CO",53538,0.084%,0.637%
,"POLK, IA",46941,0.134%,1.2%
,"VOLUSIA, FL",28074,0.132%,1.7%
,"SAN FRANCISCO, CA",23787,-,0.685%
,"DEKALB, GA",50861,0.087%,0.769%
,"JOHNSON, KS",17106,-,0.725%
,"PULASKI, AR",39590,0.058%,1%
,"LAKE, FL",28482,0.151%,1.6%
,"LAKE, IL",29451,0.115%,0.774%
,"SEMINOLE, FL",29587,0.122%,1.1%
,"DUPAGE, IL",22591,0.128%,0.775%
,"KANE, IL",31158,0.103%,1.1%
,"SACRAMENTO, CA",28579,-,0.682%
,"OSCEOLA, FL",37590,0.149%,1.2%
,"PIMA, AZ",35631,0.188%,0.539%
,"GWINNETT, GA",54016,0.141%,0.783%
,"LARIMER, CO",24633,0.122%,0.471%
,"LAKE, IN",24286,0.086%,1.2%
,"ALLEN, IN",34085,0.106%,1%
,"WINNEBAGO, IL",28849,0.104%,1%
,"NEW LONDON, CT",22773,0.154%,1.2%
,"ADAMS, CO",41238,0.116%,0.691%
,"SAN MATEO, CA",31924,0.1%,0.551%
,"WELD, CO",33505,0.116%,0.797%
,"JEFFERSON, CO",31622,0.114%,0.471%
,"PALM BEACH, FL",14607,0.24%,1.4%
,"LINN, IA",25463,0.11%,1.1%
,"PINELLAS, FL",12108,-,0.851%
,"FAYETTE, KY",10 or fewer,-,-
,"MONTEREY, CA",30469,0.079%,1.3%
,"BOULDER, CO",19668,0.107%,0.549%
,"CANYON, ID",29056,0.231%,1.2%
,"ALACHUA, FL",22685,0.119%,1.4%
,"DOUGLAS, CO",26570,0.162%,0.271%
,"PASCO, FL",13599,-,1.3%
,"HALL, GA",23773,0.072%,1.3%
,"KERN, CA",23474,-,1.2%
,"NEW CASTLE, DE",45402,0.137%,0.923%
,"CHAMPAIGN, IL",21781,-,0.978%
,"WILL, IL",14375,0.264%,1%
,"PEORIA, IL",21230,0.075%,1.2%
,"SHAWNEE, KS",17676,0.175%,1.4%
,"MARION, FL",22489,0.125%,1.6%
,"MCHENRY, IL",14681,0.15%,0.702%
,"SUSSEX, DE",17296,0.145%,1.8%
,"MCLEAN, IL",14887,0.148%,1.2%
,"VANDERBURGH, IN",14358,-,1.3%
,"JOHNSON, IA",16799,0.107%,0.53%
,"MOBILE, AL",7203,-,1.4%
,"SAINT LUCIE, FL",9805,-,0.571%
,"CHEROKEE, GA",20891,0.139%,0.637%
,"MIDDLESEX, CT",11570,0.147%,1.2%
,"COLLIER, FL",18433,0.109%,1.2%
,"SAINT JOHNS, FL",16018,0.212%,0.68%
,"HAMILTON, IN",14199,-,0.711%
,"KENT, DE",16676,0.168%,1.6%
,"PAULDING, GA",15702,0.108%,0.968%
,"SAN JOAQUIN, CA",10723,-,0.783%
,"TAZEWELL, IL",13065,0.092%,1%
,"SONOMA, CA",16771,-,1.2%
,"BALDWIN, AL",8636,-,0.996%
,"HARDIN, KY",10 or fewer,-,-
,"INDIAN RIVER, FL",8012,-,0.874%
,"LITCHFIELD, CT",8351,0.204%,1.5%
,"BREVARD, FL",15817,0.177%,0.948%
,"ROCK ISLAND, IL",12857,0.124%,2.4%
,"DOUGLAS, GA",13755,-,0.822%
,"CLARK, IN",13734,0.095%,1.7%
,"CLAY, FL",15418,0.208%,1.2%
,"SCOTT, IA",11809,0.161%,1.3%
,"SAINT CLAIR, IL",6059,-,1.7%
,"TOLLAND, CT",8719,0.149%,1.2%
,"SANGAMON, IL",10751,0.177%,1.6%
,"LOWNDES, GA",11865,-,1%
,"WYANDOTTE, KS",9459,-,1.4%
,"ST JOSEPH, IN",8069,0.149%,1.2%
,"LA SALLE, IL",8751,-,1.4%
,"MARTIN, FL",5354,-,0.71%
,"KENDALL, IL",9296,0.172%,1.2%
,"TWIN FALLS, ID",9600,-,0.688%
,"WINDHAM, CT",7580,0.172%,1.6%
,"MADISON, IN",9578,-,1.2%
,"FLAGLER, FL",6066,-,1.9%
,"BULLITT, KY",10 or fewer,-,-
,"WOODBURY, IA",11950,-,1.6%
,"NASSAU, FL",7056,0.184%,1.7%
,"HUMBOLDT, CA",8272,-,0.895%
,"JOHNSON, IN",8892,-,0.866%
,"SUMTER, FL",3324,-,2.3%
,"BARTHOLOMEW, IN",8501,-,1.1%
,"BLACK HAWK, IA",8319,0.132%,1.3%
,"CLAYTON, GA",16546,0.066%,0.894%
,"SOLANO, CA",8833,-,1.1%
,"VERMILION, IL",8371,-,1.6%
,"MADISON, IL",4073,-,1.6%
,"PUEBLO, CO",7805,0.218%,1.4%
,"MADISON, KY",10 or fewer,-,-
,"SALINE, AR",8459,0.166%,0.91%
,"SANTA CRUZ, CA",6242,0.192%,1%
,"CRAIGHEAD, AR",8761,-,1.7%
,"HENRY, GA",16101,0.106%,0.783%
,"SEBASTIAN, AR",8078,0.149%,2%
,"FORSYTH, GA",13044,0.153%,0.598%
,"MCCRACKEN, KY",10 or fewer,-,-
,"KENTON, KY",10 or fewer,-,-
,"KAUAI, HI",5660,-,0.83%
,"PORTER, IN",3668,-,1.1%
,"MACON, IL",5376,-,2.3%
,"MARIN, CA",8472,-,0.696%
,"FLOYD, IN",5616,0.214%,1.5%
,"FAULKNER, AR",8590,0.151%,1.4%
,"BARROW, GA",7814,-,1.2%
,"JACKSON, GA",7767,0.18%,1%
,"BANNOCK, ID",4272,-,1.1%
,"DUBUQUE, IA",5916,0.186%,0.862%
,"HIGHLANDS, FL",3157,-,1.7%
,"TROUP, GA",6711,-,1.2%
,"OLDHAM, KY",10 or fewer,-,-
,"PINAL, AZ",6263,-,0.383%
,"WASHINGTON, AR",17263,0.127%,0.591%
,"MADERA, CA",3031,-,0.627%
,"WARRICK, IN",5584,-,0.967%
,"HOUSTON, AL",3150,-,0.984%
,"MESA, CO",5978,-,0.769%
,"LONOKE, AR",6166,-,1%
,"WHITFIELD, GA",4892,-,2.5%
,"BOONE, KY",10 or fewer,-,-
,"HOWARD, IN",6358,-,1.7%
,"TULARE, CA",2194,-,1.1%
,"BARTOW, GA",6004,-,1.2%
,"HANCOCK, IN",5309,-,0.772%
,"PIKE, KY",10 or fewer,-,-
,"DALLAS, IA",7492,0.214%,0.908%
,"BOONE, IL",5362,-,0.877%
,"HAWAII, HI",6556,0.183%,1%
,"KNOX, IL",4868,-,1.2%
,"PLACER, CA",2355,-,0.722%
