Session Title,HA1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,,
Session Description,"C01 HbA1c, BMI, and Number, by state, age",,,
Session ID,2731038,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence (U.S.): Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Mississippi, Montana, Nevada, Nebraska, New York, New Jersey, New Mexico, New Hampshire, North Carolina",Base Patient,,
Session Date Range,4/11/2023 - 4/10/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/1/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Hemoglobin A1C 7.0% or more (%),Percentage with BMI 30.0  or more and 49.8  or less (%)
Age in Years (Current),County of Residence,,,
Less than 10 years,"WAYNE, MI",84657,0.104%,1.4%
,"WAKE, NC",85407,0.124%,1.1%
,"KINGS, NY",68787,0.1%,0.974%
,"MIDDLESEX, MA",69766,0.122%,0.71%
,"MONROE, NY",69167,0.12%,1.2%
,"JEFFERSON, KY",79923,0.111%,1.4%
,"SUFFOLK, NY",48546,0.093%,1.4%
,"MECKLENBURG, NC",82519,0.063%,0.653%
,"KENT, MI",73578,0.347%,0.974%
,"NASSAU, NY",42407,0.134%,1.1%
,"QUEENS, NY",45294,0.035%,0.759%
,"HENNEPIN, MN",54997,0.067%,0.596%
,"CLARK, NV",46984,-,1.4%
,"OAKLAND, MI",45583,0.143%,1%
,"WORCESTER, MA",57745,0.135%,0.947%
,"SUFFOLK, MA",43382,0.095%,1.1%
,"CAMDEN, NJ",42078,0.081%,2.3%
,"MACOMB, MI",28006,0.143%,1.3%
,"GUILFORD, NC",40082,0.09%,0.933%
,"NEW YORK, NY",19957,0.085%,0.536%
,"WASHOE, NV",39255,0.186%,0.988%
,"BALTIMORE, MD",27880,0.111%,1%
,"BURLINGTON, NJ",29767,0.097%,1.2%
,"EAST BATON ROUGE, LA",45716,0.046%,1.8%
,"ERIE, NY",11551,-,1.4%
,"FORSYTH, NC",30718,-,0.944%
,"BRISTOL, MA",29270,0.13%,1.2%
,"ESSEX, MA",30846,0.191%,0.81%
,"BALTIMORE CITY, MD",24705,0.117%,1.1%
,"JACKSON, MO",9357,-,0.545%
,"ESSEX, NJ",26266,0.118%,1.7%
,"OTTAWA, MI",27225,0.228%,0.793%
,"MIDDLESEX, NJ",18379,0.12%,1.1%
,"JEFFERSON, LA",23479,-,1.9%
,"ANNE ARUNDEL, MD",11401,0.237%,1.2%
,"WASHTENAW, MI",20019,0.22%,0.679%
,"RAMSEY, MN",25008,0.076%,0.756%
,"KALAMAZOO, MI",23443,0.081%,0.84%
,"CUMBERLAND, ME",21061,0.142%,0.964%
,"FAYETTE, KY",21651,0.069%,1.5%
,"CUMBERLAND, NC",26997,0.163%,1.5%
,"HILLSBOROUGH, NH",20039,0.17%,0.684%
,"PRINCE GEORGES, MD",12521,-,2.2%
,"ALBANY, NY",15025,0.566%,1.8%
,"OCEAN, NJ",14253,-,1%
,"DOUGLAS, NE",8518,-,1%
,"DAKOTA, MN",19329,0.16%,0.435%
,"LANCASTER, NE",15180,-,0.968%
,"GLOUCESTER, NJ",15024,0.113%,1.3%
,"ORLEANS, LA",14448,-,1.5%
,"NORFOLK, MA",16404,0.232%,0.78%
,"SAINT TAMMANY, LA",15187,0.086%,1.5%
,"MUSKEGON, MI",17987,0.245%,1.6%
,"MONTGOMERY, MD",11868,-,1.3%
,"BROOME, NY",16429,-,1.2%
,"ANOKA, MN",18856,-,0.573%
,"LAFAYETTE, LA",22318,0.112%,1.3%
,"BERNALILLO, NM",5704,-,0.982%
,"JOHNSTON, NC",17702,0.141%,1.3%
,"PLYMOUTH, MA",15011,0.326%,0.813%
,"MONMOUTH, NJ",11768,0.119%,0.748%
,"HINDS, MS",18677,0.091%,1.5%
,"SAINT LOUIS, MN",14770,0.135%,0.745%
,"MERCER, NJ",9148,0.186%,1.5%
,"HARFORD, MD",10803,0.231%,1.4%
,"UNION, NC",19202,0.078%,0.656%
